*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
10:47


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 8.19797852181070E-0002	
 4.52500000000000E+0002	 8.22302149794239E-0002	
 4.54500000000000E+0002	 8.26906447407407E-0002	
 4.56500000000000E+0002	 8.28945745020576E-0002	
 4.58500000000000E+0002	 8.31355042633745E-0002	
 4.60500000000000E+0002	 8.36539340246914E-0002	
 4.62500000000000E+0002	 8.41493637860082E-0002	
 4.64500000000000E+0002	 8.46382935473251E-0002	
 4.66500000000000E+0002	 8.48807233086420E-0002	
 4.68500000000000E+0002	 8.51801530699588E-0002	
 4.70500000000000E+0002	 8.55650828312757E-0002	
 4.72500000000000E+0002	 8.60595125925926E-0002	
 4.74500000000000E+0002	 8.65099423539095E-0002	
 4.76500000000000E+0002	 8.69868721152263E-0002	
 4.78500000000000E+0002	 8.74638018765432E-0002	
 4.80500000000000E+0002	 8.80147316378601E-0002	
 4.82500000000000E+0002	 8.84881613991770E-0002	
 4.84500000000000E+0002	 8.89755911604938E-0002	
 4.86500000000000E+0002	 8.93990209218107E-0002	
 4.88500000000000E+0002	 9.00064506831276E-0002	
 4.90500000000000E+0002	 9.05063804444444E-0002	
 4.92500000000000E+0002	 9.10668102057613E-0002	
 4.94500000000000E+0002	 9.17427399670782E-0002	
 4.96500000000000E+0002	 9.24421697283951E-0002	
 4.98500000000000E+0002	 9.29920994897119E-0002	
 5.00500000000000E+0002	 9.34340292510288E-0002	
 5.02500000000000E+0002	 9.38984590123457E-0002	
 5.04500000000000E+0002	 9.45928887736626E-0002	
 5.06500000000000E+0002	 9.52458185349794E-0002	
 5.08500000000000E+0002	 9.58722482962963E-0002	
 5.10500000000000E+0002	 9.64831780576132E-0002	
 5.12500000000000E+0002	 9.71586078189300E-0002	
 5.14500000000000E+0002	 9.78430375802469E-0002	
 5.16500000000000E+0002	 9.85489673415638E-0002	
 5.18500000000000E+0002	 9.92828971028807E-0002	
 5.20500000000000E+0002	 1.00005826864198E-0001	
 5.22500000000000E+0002	 1.00571256625514E-0001	
 5.24500000000000E+0002	 1.00939686386831E-0001	
 5.26500000000000E+0002	 1.01350616148148E-0001	
 5.28500000000000E+0002	 1.01937545909465E-0001	
 5.30500000000000E+0002	 1.02454475670782E-0001	
 5.32500000000000E+0002	 1.02847905432099E-0001	
 5.34500000000000E+0002	 1.03200835193416E-0001	
 5.36500000000000E+0002	 1.03519764954733E-0001	
 5.38500000000000E+0002	 1.03778694716049E-0001	
 5.40500000000000E+0002	 1.03995124477366E-0001	
 5.42500000000000E+0002	 1.04152054238683E-0001	
 5.44500000000000E+0002	 1.04325984000000E-0001	
 5.46500000000000E+0002	 1.04532913761317E-0001	
 5.48500000000000E+0002	 1.04786843522634E-0001	
 5.50500000000000E+0002	 1.05103273283951E-0001	
 5.52500000000000E+0002	 1.05428203045267E-0001	
 5.54500000000000E+0002	 1.05716632806584E-0001	
 5.56500000000000E+0002	 1.06013062567901E-0001	
 5.58500000000000E+0002	 1.06203992329218E-0001	
 5.60500000000000E+0002	 1.06229922090535E-0001	
 5.62500000000000E+0002	 1.06093851851852E-0001	
 5.64500000000000E+0002	 1.05921281613169E-0001	
 5.66500000000000E+0002	 1.05770711374486E-0001	
 5.68500000000000E+0002	 1.05689641135802E-0001	
 5.70500000000000E+0002	 1.05666070897119E-0001	
 5.72500000000000E+0002	 1.05704000658436E-0001	
 5.74500000000000E+0002	 1.05737930419753E-0001	
 5.76500000000000E+0002	 1.05869860181070E-0001	
 5.78500000000000E+0002	 1.06035289942387E-0001	
 5.80500000000000E+0002	 1.06100719703704E-0001	
 5.82500000000000E+0002	 1.06127149465021E-0001	
 5.84500000000000E+0002	 1.06121079226337E-0001	
 5.86500000000000E+0002	 1.06119008987654E-0001	
 5.88500000000000E+0002	 1.06173938748971E-0001	
 5.90500000000000E+0002	 1.06200368510288E-0001	
 5.92500000000000E+0002	 1.06266298271605E-0001	
 5.94500000000000E+0002	 1.06449228032922E-0001	
 5.96500000000000E+0002	 1.06613157794239E-0001	
 5.98500000000000E+0002	 1.06708087555556E-0001	
 6.00500000000000E+0002	 1.06792517316872E-0001	
 6.02500000000000E+0002	 1.06965947078189E-0001	
 6.04500000000000E+0002	 1.07137376839506E-0001	
 6.06500000000000E+0002	 1.07335806600823E-0001	
 6.08500000000000E+0002	 1.07496236362140E-0001	
 6.10500000000000E+0002	 1.07636166123457E-0001	
 6.12500000000000E+0002	 1.07722595884774E-0001	
 6.14500000000000E+0002	 1.07800025646091E-0001	
 6.16500000000000E+0002	 1.07876455407407E-0001	
 6.18500000000000E+0002	 1.07972885168724E-0001	
 6.20500000000000E+0002	 1.07923314930041E-0001	
 6.22500000000000E+0002	 1.07726244691358E-0001	
 6.24500000000000E+0002	 1.07431174452675E-0001	
 6.26500000000000E+0002	 1.07206604213992E-0001	
 6.28500000000000E+0002	 1.07027033975309E-0001	
 6.30500000000000E+0002	 1.06818463736626E-0001	
 6.32500000000000E+0002	 1.06539893497942E-0001	
 6.34500000000000E+0002	 1.06237823259259E-0001	
 6.36500000000000E+0002	 1.06044253020576E-0001	
 6.38500000000000E+0002	 1.05927182781893E-0001	
 6.40500000000000E+0002	 1.05821112543210E-0001	
 6.42500000000000E+0002	 1.05712042304527E-0001	
 6.44500000000000E+0002	 1.05609472065844E-0001	
 6.46500000000000E+0002	 1.05517401827160E-0001	
 6.48500000000000E+0002	 1.05459831588477E-0001	
 6.50500000000000E+0002	 1.05390761349794E-0001	
 6.52500000000000E+0002	 1.05357191111111E-0001	
 6.54500000000000E+0002	 1.05365620872428E-0001	
 6.56500000000000E+0002	 1.05427050633745E-0001	
 6.58500000000000E+0002	 1.05479480395062E-0001	
 6.60500000000000E+0002	 1.05503910156379E-0001	
 6.62500000000000E+0002	 1.05480839917695E-0001	
 6.64500000000000E+0002	 1.05436769679012E-0001	
 6.66500000000000E+0002	 1.06015199440329E-0001	
 6.68500000000000E+0002	 1.06434629201646E-0001	
 6.70500000000000E+0002	 1.05210558962963E-0001	
 6.72500000000000E+0002	 1.04589988724280E-0001	
 6.74500000000000E+0002	 1.04285918485597E-0001	
 6.76500000000000E+0002	 1.03938848246914E-0001	
 6.78500000000000E+0002	 1.03602278008230E-0001	
 6.80500000000000E+0002	 1.03281707769547E-0001	
 6.82500000000000E+0002	 1.03013137530864E-0001	
 6.84500000000000E+0002	 1.02798067292181E-0001	
 6.86500000000000E+0002	 1.02600497053498E-0001	
 6.88500000000000E+0002	 1.02410926814815E-0001	
 6.90500000000000E+0002	 1.02295856576132E-0001	
 6.92500000000000E+0002	 1.02217286337449E-0001	
 6.94500000000000E+0002	 1.02153216098765E-0001	
 6.96500000000000E+0002	 1.02129645860082E-0001	
 6.98500000000000E+0002	 1.02117075621399E-0001	
 7.00500000000000E+0002	 1.02064005382716E-0001	
 7.02500000000000E+0002	 1.01915935144033E-0001	
 7.04500000000000E+0002	 1.01700864905350E-0001	
 7.06500000000000E+0002	 1.01452794666667E-0001	
 7.08500000000000E+0002	 1.01215724427984E-0001	
 7.10500000000000E+0002	 1.00988654189300E-0001	
 7.12500000000000E+0002	 1.00747583950617E-0001	
 7.14500000000000E+0002	 1.00362013711934E-0001	
 7.16500000000000E+0002	 9.98904434732510E-0002	
 7.18500000000000E+0002	 9.93888732345679E-0002	
 7.20500000000000E+0002	 9.89478029958848E-0002	
 7.22500000000000E+0002	 9.84842327572016E-0002	
 7.24500000000000E+0002	 9.79606625185185E-0002	
 7.26500000000000E+0002	 9.73045922798354E-0002	
 7.28500000000000E+0002	 9.65885220411523E-0002	
 7.30500000000000E+0002	 9.58394518024691E-0002	
 7.32500000000000E+0002	 9.51818815637860E-0002	
 7.34500000000000E+0002	 9.46018113251029E-0002	
 7.36500000000000E+0002	 9.41322410864198E-0002	
 7.38500000000000E+0002	 9.37051708477366E-0002	
 7.40500000000000E+0002	 9.33346006090535E-0002	
 7.42500000000000E+0002	 9.29790303703704E-0002	
 7.44500000000000E+0002	 9.26669601316872E-0002	
 7.46500000000000E+0002	 9.23493898930041E-0002	
 7.48500000000000E+0002	 9.20548196543210E-0002	
 7.50500000000000E+0002	 9.17642494156379E-0002	
 7.52500000000000E+0002	 9.15086791769547E-0002	
 7.54500000000000E+0002	 9.12686089382716E-0002	
 7.56500000000000E+0002	 9.10680386995885E-0002	
 7.58500000000000E+0002	 9.08679684609053E-0002	
 7.60500000000000E+0002	 9.06968982222222E-0002	
 7.62500000000000E+0002	 9.05788279835391E-0002	
 7.64500000000000E+0002	 9.04542577448560E-0002	
 7.66500000000000E+0002	 9.02051875061728E-0002	
 7.68500000000000E+0002	 8.97901172674897E-0002	
 7.70500000000000E+0002	 8.92820470288066E-0002	
 7.72500000000000E+0002	 8.88569767901235E-0002	
 7.74500000000000E+0002	 8.86404065514403E-0002	
 7.76500000000000E+0002	 8.87563363127572E-0002	
 7.78500000000000E+0002	 8.90922660740741E-0002	
 7.80500000000000E+0002	 8.91951958353909E-0002	
 7.82500000000000E+0002	 8.88276255967078E-0002	
 7.84500000000000E+0002	 8.83170553580247E-0002	
 7.86500000000000E+0002	 8.78799851193416E-0002	
 7.88500000000000E+0002	 8.75014148806584E-0002	
 7.90500000000000E+0002	 8.71563446419753E-0002	
 7.92500000000000E+0002	 8.69997744032922E-0002	
 7.94500000000000E+0002	 8.70237041646091E-0002	
 7.96500000000000E+0002	 8.70281339259259E-0002	
 7.98500000000000E+0002	 8.67935636872428E-0002	
 8.00500000000000E+0002	 8.64079934485597E-0002	
 8.02500000000000E+0002	 8.60344232098765E-0002	
 8.04500000000000E+0002	 8.57993529711934E-0002	
 8.06500000000000E+0002	 8.56532827325103E-0002	
 8.08500000000000E+0002	 8.55852124938272E-0002	
 8.10500000000000E+0002	 8.54906422551440E-0002	
 8.12500000000000E+0002	 8.53215720164609E-0002	
 8.14500000000000E+0002	 8.50355017777778E-0002	
 8.16500000000000E+0002	 8.46734315390947E-0002	
 8.18500000000000E+0002	 8.42413613004115E-0002	
 8.20500000000000E+0002	 8.38437910617284E-0002	
 8.22500000000000E+0002	 8.34892208230453E-0002	
 8.24500000000000E+0002	 8.31761505843621E-0002	
 8.26500000000000E+0002	 8.28760803456790E-0002	
 8.28500000000000E+0002	 8.26380101069959E-0002	
 8.30500000000000E+0002	 8.24434398683128E-0002	
 8.32500000000000E+0002	 8.23188696296296E-0002	
 8.34500000000000E+0002	 8.22187993909465E-0002	
 8.36500000000000E+0002	 8.21587291522634E-0002	
 8.38500000000000E+0002	 8.21176589135802E-0002	
 8.40500000000000E+0002	 8.20955886748971E-0002	
 8.42500000000000E+0002	 8.20790184362140E-0002	
 8.44500000000000E+0002	 8.20949481975309E-0002	
 8.46500000000000E+0002	 8.21248779588477E-0002	
 8.48500000000000E+0002	 8.22088077201646E-0002	
 8.50500000000000E+0002	 8.23507374814815E-0002	
 8.52500000000000E+0002	 8.26191672427984E-0002	
 8.54500000000000E+0002	 8.29680970041152E-0002	
 8.56500000000000E+0002	 8.33595267654321E-0002	
 8.58500000000000E+0002	 8.37049565267490E-0002	
 8.60500000000000E+0002	 8.39418862880658E-0002	
 8.62500000000000E+0002	 8.40033160493827E-0002	
 8.64500000000000E+0002	 8.39172458106996E-0002	
 8.66500000000000E+0002	 8.37081755720165E-0002	
 8.68500000000000E+0002	 8.36446053333333E-0002	
 8.70500000000000E+0002	 8.40690350946502E-0002	
 8.72500000000000E+0002	 8.45474648559671E-0002	
 8.74500000000000E+0002	 8.42008946172840E-0002	
 8.76500000000000E+0002	 8.34293243786008E-0002	
 8.78500000000000E+0002	 8.28432541399177E-0002	
 8.80500000000000E+0002	 8.25131839012346E-0002	
 8.82500000000000E+0002	 8.23116136625514E-0002	
 8.84500000000000E+0002	 8.21850434238683E-0002	
 8.86500000000000E+0002	 8.20894731851852E-0002	
 8.88500000000000E+0002	 8.20704029465021E-0002	
 8.90500000000000E+0002	 8.20918327078189E-0002	
 8.92500000000000E+0002	 8.21817624691358E-0002	
 8.94500000000000E+0002	 8.22576922304527E-0002	
 8.96500000000000E+0002	 8.22586219917695E-0002	
