*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:1


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.40217363129252E-0001	
 4.52500000000000E+0002	 1.39020560544218E-0001	
 4.54500000000000E+0002	 1.42783757959184E-0001	
 4.56500000000000E+0002	 1.42611455374150E-0001	
 4.58500000000000E+0002	 1.43102652789116E-0001	
 4.60500000000000E+0002	 1.44337350204082E-0001	
 4.62500000000000E+0002	 1.45192547619048E-0001	
 4.64500000000000E+0002	 1.45746245034014E-0001	
 4.66500000000000E+0002	 1.46276442448980E-0001	
 4.68500000000000E+0002	 1.46943639863946E-0001	
 4.70500000000000E+0002	 1.47093837278912E-0001	
 4.72500000000000E+0002	 1.47667534693878E-0001	
 4.74500000000000E+0002	 1.48202232108844E-0001	
 4.76500000000000E+0002	 1.48851929523810E-0001	
 4.78500000000000E+0002	 1.49415626938776E-0001	
 4.80500000000000E+0002	 1.50050824353741E-0001	
 4.82500000000000E+0002	 1.50733521768707E-0001	
 4.84500000000000E+0002	 1.51540219183673E-0001	
 4.86500000000000E+0002	 1.52234416598639E-0001	
 4.88500000000000E+0002	 1.52929114013605E-0001	
 4.90500000000000E+0002	 1.53746311428571E-0001	
 4.92500000000000E+0002	 1.54717008843537E-0001	
 4.94500000000000E+0002	 1.55457206258503E-0001	
 4.96500000000000E+0002	 1.56106903673469E-0001	
 4.98500000000000E+0002	 1.56773601088435E-0001	
 5.00500000000000E+0002	 1.57289798503401E-0001	
 5.02500000000000E+0002	 1.58053995918367E-0001	
 5.04500000000000E+0002	 1.59122693333333E-0001	
 5.06500000000000E+0002	 1.60259390748299E-0001	
 5.08500000000000E+0002	 1.61277588163265E-0001	
 5.10500000000000E+0002	 1.62278785578231E-0001	
 5.12500000000000E+0002	 1.63133482993197E-0001	
 5.14500000000000E+0002	 1.64056680408163E-0001	
 5.16500000000000E+0002	 1.65057877823129E-0001	
 5.18500000000000E+0002	 1.66189075238095E-0001	
 5.20500000000000E+0002	 1.67106772653061E-0001	
 5.22500000000000E+0002	 1.67951970068027E-0001	
 5.24500000000000E+0002	 1.68634667482993E-0001	
 5.26500000000000E+0002	 1.69874364897959E-0001	
 5.28500000000000E+0002	 1.71111562312925E-0001	
 5.30500000000000E+0002	 1.71972259727891E-0001	
 5.32500000000000E+0002	 1.72408457142857E-0001	
 5.34500000000000E+0002	 1.72846154557823E-0001	
 5.36500000000000E+0002	 1.72923851972789E-0001	
 5.38500000000000E+0002	 1.72943049387755E-0001	
 5.40500000000000E+0002	 1.72735746802721E-0001	
 5.42500000000000E+0002	 1.72670444217687E-0001	
 5.44500000000000E+0002	 1.72472141632653E-0001	
 5.46500000000000E+0002	 1.72507839047619E-0001	
 5.48500000000000E+0002	 1.72327036462585E-0001	
 5.50500000000000E+0002	 1.72369233877551E-0001	
 5.52500000000000E+0002	 1.72200431292517E-0001	
 5.54500000000000E+0002	 1.72119628707483E-0001	
 5.56500000000000E+0002	 1.71707326122449E-0001	
 5.58500000000000E+0002	 1.71460023537415E-0001	
 5.60500000000000E+0002	 1.70905720952381E-0001	
 5.62500000000000E+0002	 1.70515918367347E-0001	
 5.64500000000000E+0002	 1.69891615782313E-0001	
 5.66500000000000E+0002	 1.69616813197279E-0001	
 5.68500000000000E+0002	 1.69145010612245E-0001	
