*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:2


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 9.58375177364725E-0002	
 4.52500000000000E+0002	 9.59292169351508E-0002	
 4.54500000000000E+0002	 9.60134161338290E-0002	
 4.56500000000000E+0002	 9.60821153325072E-0002	
 4.58500000000000E+0002	 9.59713145311855E-0002	
 4.60500000000000E+0002	 9.63200137298637E-0002	
 4.62500000000000E+0002	 9.66872129285419E-0002	
 4.64500000000000E+0002	 9.70094121272202E-0002	
 4.66500000000000E+0002	 9.70351113258984E-0002	
 4.68500000000000E+0002	 9.72268105245766E-0002	
 4.70500000000000E+0002	 9.73735097232549E-0002	
 4.72500000000000E+0002	 9.75797089219331E-0002	
 4.74500000000000E+0002	 9.77194081206113E-0002	
 4.76500000000000E+0002	 9.79551073192895E-0002	
 4.78500000000000E+0002	 9.81323065179678E-0002	
 4.80500000000000E+0002	 9.84225057166460E-0002	
 4.82500000000000E+0002	 9.86307049153242E-0002	
 4.84500000000000E+0002	 9.89224041140025E-0002	
 4.86500000000000E+0002	 9.91416033126807E-0002	
 4.88500000000000E+0002	 9.95068025113589E-0002	
 4.90500000000000E+0002	 9.97730017100372E-0002	
 4.92500000000000E+0002	 1.00103700908715E-0001	
 4.94500000000000E+0002	 1.00423900107394E-0001	
 4.96500000000000E+0002	 1.00813099306072E-0001	
 4.98500000000000E+0002	 1.01153798504750E-0001	
 5.00500000000000E+0002	 1.01464997703428E-0001	
 5.02500000000000E+0002	 1.01739696902107E-0001	
 5.04500000000000E+0002	 1.02196896100785E-0001	
 5.06500000000000E+0002	 1.02572095299463E-0001	
 5.08500000000000E+0002	 1.03038294498141E-0001	
 5.10500000000000E+0002	 1.03436993696819E-0001	
 5.12500000000000E+0002	 1.03922192895498E-0001	
 5.14500000000000E+0002	 1.04329892094176E-0001	
 5.16500000000000E+0002	 1.04705091292854E-0001	
 5.18500000000000E+0002	 1.05108290491532E-0001	
 5.20500000000000E+0002	 1.05629489690211E-0001	
 5.22500000000000E+0002	 1.06041188888889E-0001	
 5.24500000000000E+0002	 1.06358888087567E-0001	
 5.26500000000000E+0002	 1.06592087286245E-0001	
 5.28500000000000E+0002	 1.06958286484924E-0001	
 5.30500000000000E+0002	 1.07226485683602E-0001	
 5.32500000000000E+0002	 1.07476184882280E-0001	
 5.34500000000000E+0002	 1.07604384080958E-0001	
 5.36500000000000E+0002	 1.07671583279637E-0001	
 5.38500000000000E+0002	 1.07673282478315E-0001	
 5.40500000000000E+0002	 1.07704981676993E-0001	
 5.42500000000000E+0002	 1.07639680875671E-0001	
 5.44500000000000E+0002	 1.07606880074349E-0001	
 5.46500000000000E+0002	 1.07562079273028E-0001	
 5.48500000000000E+0002	 1.07596778471706E-0001	
 5.50500000000000E+0002	 1.07615977670384E-0001	
 5.52500000000000E+0002	 1.07688176869062E-0001	
 5.54500000000000E+0002	 1.07685876067741E-0001	
 5.56500000000000E+0002	 1.07664075266419E-0001	
 5.58500000000000E+0002	 1.07551774465097E-0001	
 5.60500000000000E+0002	 1.07428473663775E-0001	
 5.62500000000000E+0002	 1.07182172862454E-0001	
 5.64500000000000E+0002	 1.06951372061132E-0001	
 5.66500000000000E+0002	 1.06689571259810E-0001	
 5.68500000000000E+0002	 1.06506770458488E-0001	
 5.70500000000000E+0002	 1.06297469657166E-0001	
 5.72500000000000E+0002	 1.06153668855845E-0001	
 5.74500000000000E+0002	 1.05984368054523E-0001	
 5.76500000000000E+0002	 1.05918567253201E-0001	
 5.78500000000000E+0002	 1.05860266451879E-0001	
 5.80500000000000E+0002	 1.05813465650558E-0001	
 5.82500000000000E+0002	 1.05684164849236E-0001	
 5.84500000000000E+0002	 1.05588864047914E-0001	
 5.86500000000000E+0002	 1.05505063246592E-0001	
 5.88500000000000E+0002	 1.05482762445271E-0001	
 5.90500000000000E+0002	 1.05375461643949E-0001	
 5.92500000000000E+0002	 1.05370660842627E-0001	
 5.94500000000000E+0002	 1.05418860041305E-0001	
 5.96500000000000E+0002	 1.05544559239983E-0001	
 5.98500000000000E+0002	 1.05567758438662E-0001	
 6.00500000000000E+0002	 1.05600457637340E-0001	
 6.02500000000000E+0002	 1.05649156836018E-0001	
 6.04500000000000E+0002	 1.05693356034696E-0001	
 6.06500000000000E+0002	 1.05588555233375E-0001	
 6.08500000000000E+0002	 1.05462254432053E-0001	
 6.10500000000000E+0002	 1.05266453630731E-0001	
 6.12500000000000E+0002	 1.05125652829409E-0001	
 6.14500000000000E+0002	 1.04999852028088E-0001	
 6.16500000000000E+0002	 1.05027551226766E-0001	
 6.18500000000000E+0002	 1.04846250425444E-0001	
 6.20500000000000E+0002	 1.04498949624122E-0001	
 6.22500000000000E+0002	 1.04201648822800E-0001	
 6.24500000000000E+0002	 1.03957848021479E-0001	
 6.26500000000000E+0002	 1.03693047220157E-0001	
 6.28500000000000E+0002	 1.03484746418835E-0001	
 6.30500000000000E+0002	 1.03242945617513E-0001	
 6.32500000000000E+0002	 1.02980144816192E-0001	
 6.34500000000000E+0002	 1.02657844014870E-0001	
 6.36500000000000E+0002	 1.02417043213548E-0001	
 6.38500000000000E+0002	 1.02193242412226E-0001	
 6.40500000000000E+0002	 1.01959941610905E-0001	
 6.42500000000000E+0002	 1.01690640809583E-0001	
 6.44500000000000E+0002	 1.01427340008261E-0001	
 6.46500000000000E+0002	 1.01163539206939E-0001	
 6.48500000000000E+0002	 1.00926238405618E-0001	
 6.50500000000000E+0002	 1.00590437604296E-0001	
 6.52500000000000E+0002	 1.00282636802974E-0001	
 6.54500000000000E+0002	 1.00023336001652E-0001	
 6.56500000000000E+0002	 9.98340352003304E-0002	
 6.58500000000000E+0002	 9.96627343990087E-0002	
 6.60500000000000E+0002	 9.95519335976869E-0002	
 6.62500000000000E+0002	 9.93451327963651E-0002	
 6.64500000000000E+0002	 9.85418319950434E-0002	
 6.66500000000000E+0002	 9.61750311937216E-0002	
 6.68500000000000E+0002	 9.54392303923998E-0002	
 6.70500000000000E+0002	 9.75249295910781E-0002	
 6.72500000000000E+0002	 9.80106287897563E-0002	
 6.74500000000000E+0002	 9.76598279884345E-0002	
 6.76500000000000E+0002	 9.72250271871128E-0002	
 6.78500000000000E+0002	 9.68137263857910E-0002	
 6.80500000000000E+0002	 9.64454255844692E-0002	
 6.82500000000000E+0002	 9.61101247831475E-0002	
 6.84500000000000E+0002	 9.58308239818257E-0002	
 6.86500000000000E+0002	 9.55850231805039E-0002	
 6.88500000000000E+0002	 9.53592223791822E-0002	
 6.90500000000000E+0002	 9.51794215778604E-0002	
 6.92500000000000E+0002	 9.50126207765386E-0002	
 6.94500000000000E+0002	 9.48533199752169E-0002	
 6.96500000000000E+0002	 9.47090191738951E-0002	
 6.98500000000000E+0002	 9.45462183725733E-0002	
 7.00500000000000E+0002	 9.43049175712515E-0002	
 7.02500000000000E+0002	 9.39891167699298E-0002	
 7.04500000000000E+0002	 9.35998159686080E-0002	
 7.06500000000000E+0002	 9.32045151672862E-0002	
 7.08500000000000E+0002	 9.28317143659645E-0002	
 7.10500000000000E+0002	 9.24869135646427E-0002	
 7.12500000000000E+0002	 9.21146127633209E-0002	
 7.14500000000000E+0002	 9.16513119619992E-0002	
 7.16500000000000E+0002	 9.11580111606774E-0002	
 7.18500000000000E+0002	 9.07897103593556E-0002	
 7.20500000000000E+0002	 9.03629095580339E-0002	
 7.22500000000000E+0002	 8.96416087567121E-0002	
 7.24500000000000E+0002	 8.89028079553903E-0002	
 7.26500000000000E+0002	 8.81760071540686E-0002	
 7.28500000000000E+0002	 8.74087063527468E-0002	
 7.30500000000000E+0002	 8.66544055514250E-0002	
 7.32500000000000E+0002	 8.59506047501033E-0002	
 7.34500000000000E+0002	 8.53168039487815E-0002	
 7.36500000000000E+0002	 8.47700031474597E-0002	
 7.38500000000000E+0002	 8.42802023461380E-0002	
 7.40500000000000E+0002	 8.38269015448162E-0002	
 7.42500000000000E+0002	 8.33856007434944E-0002	
 7.44500000000000E+0002	 8.29707999421727E-0002	
