*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
10:48


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.28716394382487E-0001	
 4.52500000000000E+0002	 1.29167914291615E-0001	
 4.54500000000000E+0002	 1.29528934200743E-0001	
 4.56500000000000E+0002	 1.29603954109872E-0001	
 4.58500000000000E+0002	 1.29777974019000E-0001	
 4.60500000000000E+0002	 1.30618993928129E-0001	
 4.62500000000000E+0002	 1.31286513837257E-0001	
 4.64500000000000E+0002	 1.32006033746386E-0001	
 4.66500000000000E+0002	 1.32554053655514E-0001	
 4.68500000000000E+0002	 1.33104073564643E-0001	
 4.70500000000000E+0002	 1.33469093473771E-0001	
 4.72500000000000E+0002	 1.33922613382900E-0001	
 4.74500000000000E+0002	 1.34541633292028E-0001	
 4.76500000000000E+0002	 1.35281653201157E-0001	
 4.78500000000000E+0002	 1.35857173110285E-0001	
 4.80500000000000E+0002	 1.36456693019413E-0001	
 4.82500000000000E+0002	 1.37075212928542E-0001	
 4.84500000000000E+0002	 1.37809232837670E-0001	
 4.86500000000000E+0002	 1.38564752746799E-0001	
 4.88500000000000E+0002	 1.39428272655927E-0001	
 4.90500000000000E+0002	 1.40120792565056E-0001	
 4.92500000000000E+0002	 1.40962812474184E-0001	
 4.94500000000000E+0002	 1.41838332383313E-0001	
 4.96500000000000E+0002	 1.42672852292441E-0001	
 4.98500000000000E+0002	 1.43425372201570E-0001	
 5.00500000000000E+0002	 1.44101892110698E-0001	
 5.02500000000000E+0002	 1.44832412019827E-0001	
 5.04500000000000E+0002	 1.45902431928955E-0001	
 5.06500000000000E+0002	 1.46877951838083E-0001	
 5.08500000000000E+0002	 1.47793971747212E-0001	
 5.10500000000000E+0002	 1.48725491656340E-0001	
 5.12500000000000E+0002	 1.49780011565469E-0001	
 5.14500000000000E+0002	 1.50740031474597E-0001	
 5.16500000000000E+0002	 1.51694551383726E-0001	
 5.18500000000000E+0002	 1.52792571292854E-0001	
 5.20500000000000E+0002	 1.54034091201983E-0001	
 5.22500000000000E+0002	 1.55129111111111E-0001	
 5.24500000000000E+0002	 1.56083631020240E-0001	
 5.26500000000000E+0002	 1.57083650929368E-0001	
 5.28500000000000E+0002	 1.58263170838496E-0001	
 5.30500000000000E+0002	 1.59253690747625E-0001	
 5.32500000000000E+0002	 1.59991210656753E-0001	
 5.34500000000000E+0002	 1.60447230565882E-0001	
 5.36500000000000E+0002	 1.60681250475010E-0001	
 5.38500000000000E+0002	 1.60693770384139E-0001	
 5.40500000000000E+0002	 1.60631290293267E-0001	
 5.42500000000000E+0002	 1.60561310202396E-0001	
 5.44500000000000E+0002	 1.60547830111524E-0001	
 5.46500000000000E+0002	 1.60525850020653E-0001	
 5.48500000000000E+0002	 1.60552369929781E-0001	
 5.50500000000000E+0002	 1.60567389838910E-0001	
 5.52500000000000E+0002	 1.60561409748038E-0001	
 5.54500000000000E+0002	 1.60450429657166E-0001	
 5.56500000000000E+0002	 1.60289949566295E-0001	
 5.58500000000000E+0002	 1.60042969475423E-0001	
 5.60500000000000E+0002	 1.59693489384552E-0001	
 5.62500000000000E+0002	 1.59216509293680E-0001	
 5.64500000000000E+0002	 1.58800529202809E-0001	
 5.66500000000000E+0002	 1.58471049111937E-0001	
 5.68500000000000E+0002	 1.58208569021066E-0001	
 5.70500000000000E+0002	 1.57916588930194E-0001	
 5.72500000000000E+0002	 1.57700608839323E-0001	
 5.74500000000000E+0002	 1.57486628748451E-0001	
 5.76500000000000E+0002	 1.57349148657580E-0001	
 5.78500000000000E+0002	 1.57294668566708E-0001	
 5.80500000000000E+0002	 1.57193688475836E-0001	
 5.82500000000000E+0002	 1.57010708384965E-0001	
 5.84500000000000E+0002	 1.56847228294093E-0001	
 5.86500000000000E+0002	 1.56667248203222E-0001	
 5.88500000000000E+0002	 1.56551768112350E-0001	
 5.90500000000000E+0002	 1.56487788021479E-0001	
 5.92500000000000E+0002	 1.56572307930607E-0001	
 5.94500000000000E+0002	 1.56783827839736E-0001	
 5.96500000000000E+0002	 1.57099847748864E-0001	
 5.98500000000000E+0002	 1.57380867657993E-0001	
 6.00500000000000E+0002	 1.57609887567121E-0001	
 6.02500000000000E+0002	 1.57799407476249E-0001	
 6.04500000000000E+0002	 1.57867927385378E-0001	
 6.06500000000000E+0002	 1.57750447294506E-0001	
 6.08500000000000E+0002	 1.57544967203635E-0001	
 6.10500000000000E+0002	 1.57269487112763E-0001	
 6.12500000000000E+0002	 1.57003507021892E-0001	
 6.14500000000000E+0002	 1.56751526931020E-0001	
 6.16500000000000E+0002	 1.56553046840149E-0001	
 6.18500000000000E+0002	 1.56322066749277E-0001	
 6.20500000000000E+0002	 1.56050086658406E-0001	
 6.22500000000000E+0002	 1.55741606567534E-0001	
 6.24500000000000E+0002	 1.55445626476663E-0001	
 6.26500000000000E+0002	 1.55156146385791E-0001	
 6.28500000000000E+0002	 1.54880166294919E-0001	
 6.30500000000000E+0002	 1.54560186204048E-0001	
 6.32500000000000E+0002	 1.54216206113176E-0001	
 6.34500000000000E+0002	 1.53821226022305E-0001	
 6.36500000000000E+0002	 1.53436745931433E-0001	
 6.38500000000000E+0002	 1.53060265840562E-0001	
 6.40500000000000E+0002	 1.52693285749690E-0001	
 6.42500000000000E+0002	 1.52291305658819E-0001	
 6.44500000000000E+0002	 1.51887825567947E-0001	
 6.46500000000000E+0002	 1.51492345477076E-0001	
 6.48500000000000E+0002	 1.51081865386204E-0001	
 6.50500000000000E+0002	 1.50626885295333E-0001	
 6.52500000000000E+0002	 1.50198405204461E-0001	
 6.54500000000000E+0002	 1.49802925113589E-0001	
 6.56500000000000E+0002	 1.49474945022718E-0001	
 6.58500000000000E+0002	 1.49170964931846E-0001	
 6.60500000000000E+0002	 1.48890484840975E-0001	
 6.62500000000000E+0002	 1.48575504750103E-0001	
 6.64500000000000E+0002	 1.48115024659232E-0001	
 6.66500000000000E+0002	 1.47383044568360E-0001	
 6.68500000000000E+0002	 1.46635564477489E-0001	
 6.70500000000000E+0002	 1.46485584386617E-0001	
 6.72500000000000E+0002	 1.46338104295746E-0001	
 6.74500000000000E+0002	 1.45841624204874E-0001	
 6.76500000000000E+0002	 1.45269144114002E-0001	
 6.78500000000000E+0002	 1.44709164023131E-0001	
 6.80500000000000E+0002	 1.44218683932259E-0001	
 6.82500000000000E+0002	 1.43749203841388E-0001	
 6.84500000000000E+0002	 1.43324223750516E-0001	
 6.86500000000000E+0002	 1.42917243659645E-0001	
 6.88500000000000E+0002	 1.42559763568773E-0001	
 6.90500000000000E+0002	 1.42268783477902E-0001	
 6.92500000000000E+0002	 1.42043803387030E-0001	
 6.94500000000000E+0002	 1.41844323296159E-0001	
 6.96500000000000E+0002	 1.41691343205287E-0001	
 6.98500000000000E+0002	 1.41510863114416E-0001	
 7.00500000000000E+0002	 1.41257383023544E-0001	
 7.02500000000000E+0002	 1.40856402932672E-0001	
 7.04500000000000E+0002	 1.40335922841801E-0001	
 7.06500000000000E+0002	 1.39762442750929E-0001	
 7.08500000000000E+0002	 1.39225962660058E-0001	
 7.10500000000000E+0002	 1.38753982569186E-0001	
 7.12500000000000E+0002	 1.38264002478315E-0001	
 7.14500000000000E+0002	 1.37538022387443E-0001	
 7.16500000000000E+0002	 1.36679042296572E-0001	
 7.18500000000000E+0002	 1.35858062205700E-0001	
 7.20500000000000E+0002	 1.35051582114829E-0001	
 7.22500000000000E+0002	 1.34118602023957E-0001	
 7.24500000000000E+0002	 1.33044621933086E-0001	
 7.26500000000000E+0002	 1.31784141842214E-0001	
 7.28500000000000E+0002	 1.30406661751342E-0001	
 7.30500000000000E+0002	 1.29006681660471E-0001	
 7.32500000000000E+0002	 1.27760701569599E-0001	
 7.34500000000000E+0002	 1.26685721478728E-0001	
 7.36500000000000E+0002	 1.25747741387856E-0001	
 7.38500000000000E+0002	 1.24902261296985E-0001	
 7.40500000000000E+0002	 1.24167281206113E-0001	
