*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
10:46


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.45563844746702E-0001	
 4.52500000000000E+0002	 1.45603514461695E-0001	
 4.54500000000000E+0002	 1.47129684176689E-0001	
 4.56500000000000E+0002	 1.47116353891683E-0001	
 4.58500000000000E+0002	 1.47616023606677E-0001	
 4.60500000000000E+0002	 1.48922693321671E-0001	
 4.62500000000000E+0002	 1.49974363036664E-0001	
 4.64500000000000E+0002	 1.50739532751658E-0001	
 4.66500000000000E+0002	 1.51232702466652E-0001	
 4.68500000000000E+0002	 1.51798872181646E-0001	
 4.70500000000000E+0002	 1.52178541896640E-0001	
 4.72500000000000E+0002	 1.52732211611634E-0001	
 4.74500000000000E+0002	 1.53583381326627E-0001	
 4.76500000000000E+0002	 1.54427051041621E-0001	
 4.78500000000000E+0002	 1.55047720756615E-0001	
 4.80500000000000E+0002	 1.55642890471609E-0001	
 4.82500000000000E+0002	 1.56221060186603E-0001	
 4.84500000000000E+0002	 1.56920729901596E-0001	
 4.86500000000000E+0002	 1.57599899616590E-0001	
 4.88500000000000E+0002	 1.58363069331584E-0001	
 4.90500000000000E+0002	 1.59083239046578E-0001	
 4.92500000000000E+0002	 1.59941408761572E-0001	
 4.94500000000000E+0002	 1.60837078476565E-0001	
 4.96500000000000E+0002	 1.61690748191559E-0001	
 4.98500000000000E+0002	 1.62456417906553E-0001	
 5.00500000000000E+0002	 1.63121587621547E-0001	
 5.02500000000000E+0002	 1.63945757336541E-0001	
 5.04500000000000E+0002	 1.65100427051534E-0001	
 5.06500000000000E+0002	 1.66212596766528E-0001	
 5.08500000000000E+0002	 1.67298266481522E-0001	
 5.10500000000000E+0002	 1.68419936196516E-0001	
 5.12500000000000E+0002	 1.69552105911510E-0001	
 5.14500000000000E+0002	 1.70596775626503E-0001	
 5.16500000000000E+0002	 1.71617945341497E-0001	
 5.18500000000000E+0002	 1.72739115056491E-0001	
 5.20500000000000E+0002	 1.73781284771485E-0001	
 5.22500000000000E+0002	 1.74566454486479E-0001	
 5.24500000000000E+0002	 1.75197624201472E-0001	
 5.26500000000000E+0002	 1.76040293916466E-0001	
 5.28500000000000E+0002	 1.77016463631460E-0001	
 5.30500000000000E+0002	 1.77652633346454E-0001	
 5.32500000000000E+0002	 1.78145303061448E-0001	
 5.34500000000000E+0002	 1.78645972776441E-0001	
 5.36500000000000E+0002	 1.79118142491435E-0001	
 5.38500000000000E+0002	 1.79377312206429E-0001	
 5.40500000000000E+0002	 1.79509481921423E-0001	
 5.42500000000000E+0002	 1.79501651636417E-0001	
 5.44500000000000E+0002	 1.79460821351410E-0001	
 5.46500000000000E+0002	 1.79453491066404E-0001	
 5.48500000000000E+0002	 1.79513660781398E-0001	
 5.50500000000000E+0002	 1.79585330496392E-0001	
 5.52500000000000E+0002	 1.79658000211386E-0001	
 5.54500000000000E+0002	 1.79639169926379E-0001	
 5.56500000000000E+0002	 1.79608339641373E-0001	
 5.58500000000000E+0002	 1.79571009356367E-0001	
 5.60500000000000E+0002	 1.79466679071361E-0001	
 5.62500000000000E+0002	 1.79218348786355E-0001	
 5.64500000000000E+0002	 1.78927018501348E-0001	
 5.66500000000000E+0002	 1.78648688216342E-0001	
 5.68500000000000E+0002	 1.78453857931336E-0001	
 5.70500000000000E+0002	 1.78272527646330E-0001	
 5.72500000000000E+0002	 1.78115697361324E-0001	
 5.74500000000000E+0002	 1.77893867076318E-0001	
 5.76500000000000E+0002	 1.77822536791311E-0001	
 5.78500000000000E+0002	 1.77874206506305E-0001	
 5.80500000000000E+0002	 1.77866876221299E-0001	
 5.82500000000000E+0002	 1.77750045936293E-0001	
 5.84500000000000E+0002	 1.77601215651287E-0001	
 5.86500000000000E+0002	 1.77452885366280E-0001	
 5.88500000000000E+0002	 1.77354555081274E-0001	
 5.90500000000000E+0002	 1.77273224796268E-0001	
 5.92500000000000E+0002	 1.77304394511262E-0001	
 5.94500000000000E+0002	 1.77454064226256E-0001	
 5.96500000000000E+0002	 1.77633733941249E-0001	
 5.98500000000000E+0002	 1.77724903656243E-0001	
 6.00500000000000E+0002	 1.77776073371237E-0001	
 6.02500000000000E+0002	 1.77827243086231E-0001	
 6.04500000000000E+0002	 1.77815912801225E-0001	
 6.06500000000000E+0002	 1.77743582516218E-0001	
 6.08500000000000E+0002	 1.77641752231212E-0001	
 6.10500000000000E+0002	 1.77530921946206E-0001	
 6.12500000000000E+0002	 1.77431591661200E-0001	
 6.14500000000000E+0002	 1.77340761376194E-0001	
 6.16500000000000E+0002	 1.77319431091187E-0001	
 6.18500000000000E+0002	 1.77162100806181E-0001	
 6.20500000000000E+0002	 1.76838770521175E-0001	
 6.22500000000000E+0002	 1.76462440236169E-0001	
 6.24500000000000E+0002	 1.76028609951163E-0001	
 6.26500000000000E+0002	 1.75613779666156E-0001	
 6.28500000000000E+0002	 1.75183949381150E-0001	
 6.30500000000000E+0002	 1.74717619096144E-0001	
 6.32500000000000E+0002	 1.74182288811138E-0001	
 6.34500000000000E+0002	 1.73652958526132E-0001	
 6.36500000000000E+0002	 1.73194128241125E-0001	
 6.38500000000000E+0002	 1.72823797956119E-0001	
 6.40500000000000E+0002	 1.72442467671113E-0001	
 6.42500000000000E+0002	 1.72036637386107E-0001	
 6.44500000000000E+0002	 1.71583307101101E-0001	
 6.46500000000000E+0002	 1.71150976816094E-0001	
 6.48500000000000E+0002	 1.70683646531088E-0001	
 6.50500000000000E+0002	 1.70135316246082E-0001	
 6.52500000000000E+0002	 1.69600985961076E-0001	
 6.54500000000000E+0002	 1.69171655676070E-0001	
 6.56500000000000E+0002	 1.68822325391063E-0001	
 6.58500000000000E+0002	 1.68465995106057E-0001	
 6.60500000000000E+0002	 1.68151664821051E-0001	
 6.62500000000000E+0002	 1.67780834536045E-0001	
 6.64500000000000E+0002	 1.67036004251039E-0001	
 6.66500000000000E+0002	 1.65291673966033E-0001	
 6.68500000000000E+0002	 1.64317343681026E-0001	
 6.70500000000000E+0002	 1.65260513396020E-0001	
 6.72500000000000E+0002	 1.65350183111014E-0001	
 6.74500000000000E+0002	 1.64796852826008E-0001	
 6.76500000000000E+0002	 1.64139022541002E-0001	
 6.78500000000000E+0002	 1.63489692255995E-0001	
 6.80500000000000E+0002	 1.62835861970989E-0001	
 6.82500000000000E+0002	 1.62213531685983E-0001	
 6.84500000000000E+0002	 1.61653201400977E-0001	
 6.86500000000000E+0002	 1.61134871115971E-0001	
 6.88500000000000E+0002	 1.60640540830964E-0001	
 6.90500000000000E+0002	 1.60215710545958E-0001	
 6.92500000000000E+0002	 1.59871880260952E-0001	
 6.94500000000000E+0002	 1.59580049975946E-0001	
 6.96500000000000E+0002	 1.59358219690940E-0001	
 6.98500000000000E+0002	 1.59088889405933E-0001	
 7.00500000000000E+0002	 1.58719059120927E-0001	
 7.02500000000000E+0002	 1.58127728835921E-0001	
 7.04500000000000E+0002	 1.57400398550915E-0001	
 7.06500000000000E+0002	 1.56568068265909E-0001	
 7.08500000000000E+0002	 1.55724237980902E-0001	
 7.10500000000000E+0002	 1.54931407695896E-0001	
 7.12500000000000E+0002	 1.54160577410890E-0001	
 7.14500000000000E+0002	 1.53308747125884E-0001	
 7.16500000000000E+0002	 1.52410916840878E-0001	
 7.18500000000000E+0002	 1.51564586555871E-0001	
 7.20500000000000E+0002	 1.50672756270865E-0001	
 7.22500000000000E+0002	 1.49598425985859E-0001	
 7.24500000000000E+0002	 1.48395595700853E-0001	
 7.26500000000000E+0002	 1.47050265415847E-0001	
 7.28500000000000E+0002	 1.45599435130840E-0001	
 7.30500000000000E+0002	 1.44140604845834E-0001	
 7.32500000000000E+0002	 1.42807774560828E-0001	
 7.34500000000000E+0002	 1.41642944275822E-0001	
 7.36500000000000E+0002	 1.40653113990816E-0001	
 7.38500000000000E+0002	 1.39783283705809E-0001	
 7.40500000000000E+0002	 1.39001953420803E-0001	
 7.42500000000000E+0002	 1.38247623135797E-0001	
 7.44500000000000E+0002	 1.37524292850791E-0001	
 7.46500000000000E+0002	 1.36803962565785E-0001	
 7.48500000000000E+0002	 1.36073632280778E-0001	
 7.50500000000000E+0002	 1.35368301995772E-0001	
 7.52500000000000E+0002	 1.34693971710766E-0001	
 7.54500000000000E+0002	 1.34104641425760E-0001	
 7.56500000000000E+0002	 1.33594311140754E-0001	
 7.58500000000000E+0002	 1.33147480855748E-0001	
 7.60500000000000E+0002	 1.32797650570741E-0001	
 7.62500000000000E+0002	 1.32567820285735E-0001	
 7.64500000000000E+0002	 1.32280490000729E-0001	
 7.66500000000000E+0002	 1.31663659715723E-0001	
 7.68500000000000E+0002	 1.30630329430717E-0001	
 7.70500000000000E+0002	 1.29395499145710E-0001	
 7.72500000000000E+0002	 1.28323168860704E-0001	
 7.74500000000000E+0002	 1.27660838575698E-0001	
 7.76500000000000E+0002	 1.27689508290692E-0001	
 7.78500000000000E+0002	 1.28127678005686E-0001	
 7.80500000000000E+0002	 1.28122847720679E-0001	
 7.82500000000000E+0002	 1.27245517435673E-0001	
 7.84500000000000E+0002	 1.26108687150667E-0001	
 7.86500000000000E+0002	 1.25085856865661E-0001	
 7.88500000000000E+0002	 1.24156026580655E-0001	
 7.90500000000000E+0002	 1.23341696295648E-0001	
 7.92500000000000E+0002	 1.22904366010642E-0001	
 7.94500000000000E+0002	 1.22841035725636E-0001	
 7.96500000000000E+0002	 1.22694705440630E-0001	
 7.98500000000000E+0002	 1.22139375155624E-0001	
 8.00500000000000E+0002	 1.21293544870617E-0001	
 8.02500000000000E+0002	 1.20424214585611E-0001	
 8.04500000000000E+0002	 1.19690384300605E-0001	
 8.06500000000000E+0002	 1.19105554015599E-0001	
 8.08500000000000E+0002	 1.18651223730593E-0001	
 8.10500000000000E+0002	 1.18202893445586E-0001	
 8.12500000000000E+0002	 1.17650063160580E-0001	
 8.14500000000000E+0002	 1.16937232875574E-0001	
 8.16500000000000E+0002	 1.16149402590568E-0001	
 8.18500000000000E+0002	 1.15348072305562E-0001	
 8.20500000000000E+0002	 1.14691742020555E-0001	
 8.22500000000000E+0002	 1.14166411735549E-0001	
 8.24500000000000E+0002	 1.13794081450543E-0001	
 8.26500000000000E+0002	 1.13454751165537E-0001	
 8.28500000000000E+0002	 1.13113920880531E-0001	
 8.30500000000000E+0002	 1.12718590595524E-0001	
 8.32500000000000E+0002	 1.12278260310518E-0001	
 8.34500000000000E+0002	 1.11747930025512E-0001	
 8.36500000000000E+0002	 1.11136099740506E-0001	
 8.38500000000000E+0002	 1.10442769455500E-0001	
 8.40500000000000E+0002	 1.09721439170493E-0001	
 8.42500000000000E+0002	 1.09014608885487E-0001	
 8.44500000000000E+0002	 1.08401278600481E-0001	
 8.46500000000000E+0002	 1.07908948315475E-0001	
 8.48500000000000E+0002	 1.07617618030469E-0001	
 8.50500000000000E+0002	 1.07528287745462E-0001	
 8.52500000000000E+0002	 1.07691957460456E-0001	
 8.54500000000000E+0002	 1.08009627175450E-0001	
 8.56500000000000E+0002	 1.08414796890444E-0001	
 8.58500000000000E+0002	 1.08766466605438E-0001	
 8.60500000000000E+0002	 1.08936136320432E-0001	
 8.62500000000000E+0002	 1.08824306035425E-0001	
 8.64500000000000E+0002	 1.08449475750419E-0001	
 8.66500000000000E+0002	 1.07870645465413E-0001	
 8.68500000000000E+0002	 1.07299315180407E-0001	
 8.70500000000000E+0002	 1.07016984895401E-0001	
 8.72500000000000E+0002	 1.06849654610394E-0001	
 8.74500000000000E+0002	 1.06350824325388E-0001	
 8.76500000000000E+0002	 1.05738494040382E-0001	
 8.78500000000000E+0002	 1.05323163755376E-0001	
 8.80500000000000E+0002	 1.05063333470370E-0001	
 8.82500000000000E+0002	 1.04817003185363E-0001	
 8.84500000000000E+0002	 1.04528172900357E-0001	
 8.86500000000000E+0002	 1.04141842615351E-0001	
 8.88500000000000E+0002	 1.03706012330345E-0001	
 8.90500000000000E+0002	 1.03207682045339E-0001	
 8.92500000000000E+0002	 1.02766851760332E-0001	
 8.94500000000000E+0002	 1.02370021475326E-0001	
 8.96500000000000E+0002	 1.02002691190320E-0001	
 8.98500000000000E+0002	 1.01631360905314E-0001	
 9.00500000000000E+0002	 1.01378530620308E-0001	
 9.02500000000000E+0002	 1.01311200335301E-0001	
 9.04500000000000E+0002	 1.01579870050295E-0001	
