*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
10:54


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.17939885187939E-0001	
 4.52500000000000E+0002	 1.18093617389508E-0001	
 4.54500000000000E+0002	 1.18344849591078E-0001	
 4.56500000000000E+0002	 1.18395081792648E-0001	
 4.58500000000000E+0002	 1.18562813994217E-0001	
 4.60500000000000E+0002	 1.19294546195787E-0001	
 4.62500000000000E+0002	 1.19963778397356E-0001	
 4.64500000000000E+0002	 1.20627510598926E-0001	
 4.66500000000000E+0002	 1.20849242800496E-0001	
 4.68500000000000E+0002	 1.20995475002065E-0001	
 4.70500000000000E+0002	 1.21376707203635E-0001	
 4.72500000000000E+0002	 1.21814439405204E-0001	
 4.74500000000000E+0002	 1.22451171606774E-0001	
 4.76500000000000E+0002	 1.23060403808344E-0001	
 4.78500000000000E+0002	 1.23571136009913E-0001	
 4.80500000000000E+0002	 1.24108368211483E-0001	
 4.82500000000000E+0002	 1.24643100413052E-0001	
 4.84500000000000E+0002	 1.25147832614622E-0001	
 4.86500000000000E+0002	 1.25707564816192E-0001	
 4.88500000000000E+0002	 1.26439797017761E-0001	
 4.90500000000000E+0002	 1.26999029219331E-0001	
 4.92500000000000E+0002	 1.27630261420900E-0001	
 4.94500000000000E+0002	 1.28502493622470E-0001	
 4.96500000000000E+0002	 1.29344725824040E-0001	
 4.98500000000000E+0002	 1.30034958025609E-0001	
 5.00500000000000E+0002	 1.30688190227179E-0001	
 5.02500000000000E+0002	 1.31384422428748E-0001	
 5.04500000000000E+0002	 1.31893654630318E-0001	
 5.06500000000000E+0002	 1.32429386831888E-0001	
 5.08500000000000E+0002	 1.32996619033457E-0001	
 5.10500000000000E+0002	 1.33571351235027E-0001	
 5.12500000000000E+0002	 1.34260583436596E-0001	
 5.14500000000000E+0002	 1.34923815638166E-0001	
 5.16500000000000E+0002	 1.35547547839736E-0001	
 5.18500000000000E+0002	 1.36364280041305E-0001	
 5.20500000000000E+0002	 1.37390512242875E-0001	
 5.22500000000000E+0002	 1.38308744444444E-0001	
 5.24500000000000E+0002	 1.38756476646014E-0001	
 5.26500000000000E+0002	 1.39153208847584E-0001	
 5.28500000000000E+0002	 1.40036441049153E-0001	
 5.30500000000000E+0002	 1.40985673250723E-0001	
 5.32500000000000E+0002	 1.41570405452292E-0001	
 5.34500000000000E+0002	 1.41792137653862E-0001	
 5.36500000000000E+0002	 1.41813369855432E-0001	
 5.38500000000000E+0002	 1.41748102057001E-0001	
 5.40500000000000E+0002	 1.41608834258571E-0001	
 5.42500000000000E+0002	 1.41460066460140E-0001	
 5.44500000000000E+0002	 1.41325298661710E-0001	
 5.46500000000000E+0002	 1.41236030863280E-0001	
 5.48500000000000E+0002	 1.41208763064849E-0001	
 5.50500000000000E+0002	 1.41285495266419E-0001	
 5.52500000000000E+0002	 1.41356227467988E-0001	
 5.54500000000000E+0002	 1.41263959669558E-0001	
 5.56500000000000E+0002	 1.41037191871128E-0001	
 5.58500000000000E+0002	 1.40824424072697E-0001	
 5.60500000000000E+0002	 1.40549156274267E-0001	
 5.62500000000000E+0002	 1.40189388475836E-0001	
 5.64500000000000E+0002	 1.39771120677406E-0001	
 5.66500000000000E+0002	 1.39419352878976E-0001	
 5.68500000000000E+0002	 1.39127085080545E-0001	
 5.70500000000000E+0002	 1.38901317282115E-0001	
 5.72500000000000E+0002	 1.38705049483684E-0001	
 5.74500000000000E+0002	 1.38487781685254E-0001	
 5.76500000000000E+0002	 1.38254513886824E-0001	
 5.78500000000000E+0002	 1.38192246088393E-0001	
 5.80500000000000E+0002	 1.38048478289963E-0001	
 5.82500000000000E+0002	 1.37902210491532E-0001	
 5.84500000000000E+0002	 1.37708442693102E-0001	
 5.86500000000000E+0002	 1.37573674894672E-0001	
 5.88500000000000E+0002	 1.37451407096241E-0001	
 5.90500000000000E+0002	 1.37302139297811E-0001	
 5.92500000000000E+0002	 1.37199371499380E-0001	
 5.94500000000000E+0002	 1.37328603700950E-0001	
 5.96500000000000E+0002	 1.37483835902520E-0001	
 5.98500000000000E+0002	 1.37596068104089E-0001	
 6.00500000000000E+0002	 1.37663800305659E-0001	
 6.02500000000000E+0002	 1.37830532507228E-0001	
 6.04500000000000E+0002	 1.37852764708798E-0001	
 6.06500000000000E+0002	 1.37777496910368E-0001	
 6.08500000000000E+0002	 1.37601729111937E-0001	
 6.10500000000000E+0002	 1.37412961313507E-0001	
 6.12500000000000E+0002	 1.37174193515076E-0001	
 6.14500000000000E+0002	 1.36964925716646E-0001	
 6.16500000000000E+0002	 1.36723657918216E-0001	
 6.18500000000000E+0002	 1.36532390119785E-0001	
 6.20500000000000E+0002	 1.36309622321355E-0001	
 6.22500000000000E+0002	 1.36081854522924E-0001	
 6.24500000000000E+0002	 1.35761086724494E-0001	
 6.26500000000000E+0002	 1.35469318926064E-0001	
 6.28500000000000E+0002	 1.35216051127633E-0001	
 6.30500000000000E+0002	 1.34944283329203E-0001	
 6.32500000000000E+0002	 1.34572515530772E-0001	
 6.34500000000000E+0002	 1.34192747732342E-0001	
 6.36500000000000E+0002	 1.33896979933912E-0001	
 6.38500000000000E+0002	 1.33683712135481E-0001	
 6.40500000000000E+0002	 1.33412944337051E-0001	
 6.42500000000000E+0002	 1.33159676538620E-0001	
 6.44500000000000E+0002	 1.32909408740190E-0001	
 6.46500000000000E+0002	 1.32678640941760E-0001	
 6.48500000000000E+0002	 1.32417873143329E-0001	
 6.50500000000000E+0002	 1.32098605344899E-0001	
 6.52500000000000E+0002	 1.31730337546468E-0001	
 6.54500000000000E+0002	 1.31442569748038E-0001	
 6.56500000000000E+0002	 1.31199801949608E-0001	
 6.58500000000000E+0002	 1.30931534151177E-0001	
 6.60500000000000E+0002	 1.30664766352747E-0001	
 6.62500000000000E+0002	 1.30427998554316E-0001	
 6.64500000000000E+0002	 1.30092230755886E-0001	
 6.66500000000000E+0002	 1.29995462957456E-0001	
 6.68500000000000E+0002	 1.29905695159025E-0001	
 6.70500000000000E+0002	 1.28940927360595E-0001	
 6.72500000000000E+0002	 1.28665659562164E-0001	
 6.74500000000000E+0002	 1.28363391763734E-0001	
 6.76500000000000E+0002	 1.27987623965304E-0001	
 6.78500000000000E+0002	 1.27577356166873E-0001	
 6.80500000000000E+0002	 1.27162588368443E-0001	
 6.82500000000000E+0002	 1.26733320570012E-0001	
 6.84500000000000E+0002	 1.26340552771582E-0001	
 6.86500000000000E+0002	 1.25966784973152E-0001	
 6.88500000000000E+0002	 1.25595517174721E-0001	
 6.90500000000000E+0002	 1.25265249376291E-0001	
 6.92500000000000E+0002	 1.25018481577860E-0001	
 6.94500000000000E+0002	 1.24779213779430E-0001	
 6.96500000000000E+0002	 1.24607945981000E-0001	
 6.98500000000000E+0002	 1.24473178182569E-0001	
 7.00500000000000E+0002	 1.24293410384139E-0001	
 7.02500000000000E+0002	 1.23952142585708E-0001	
 7.04500000000000E+0002	 1.23516874787278E-0001	
 7.06500000000000E+0002	 1.23065606988848E-0001	
 7.08500000000000E+0002	 1.22621839190417E-0001	
 7.10500000000000E+0002	 1.22163571391987E-0001	
 7.12500000000000E+0002	 1.21691803593556E-0001	
 7.14500000000000E+0002	 1.21114035795126E-0001	
 7.16500000000000E+0002	 1.20465267996696E-0001	
 7.18500000000000E+0002	 1.19790000198265E-0001	
 7.20500000000000E+0002	 1.19114232399835E-0001	
 7.22500000000000E+0002	 1.18443964601404E-0001	
 7.24500000000000E+0002	 1.17627196802974E-0001	
 7.26500000000000E+0002	 1.16614929004544E-0001	
 7.28500000000000E+0002	 1.15500661206113E-0001	
 7.30500000000000E+0002	 1.14382393407683E-0001	
 7.32500000000000E+0002	 1.13360125609252E-0001	
 7.34500000000000E+0002	 1.12475357810822E-0001	
 7.36500000000000E+0002	 1.11720090012392E-0001	
 7.38500000000000E+0002	 1.11055322213961E-0001	
 7.40500000000000E+0002	 1.10448054415531E-0001	
 7.42500000000000E+0002	 1.09915786617100E-0001	
 7.44500000000000E+0002	 1.09424018818670E-0001	
 7.46500000000000E+0002	 1.08954751020240E-0001	
 7.48500000000000E+0002	 1.08508483221809E-0001	
 7.50500000000000E+0002	 1.08113215423379E-0001	
 7.52500000000000E+0002	 1.07799447624948E-0001	
 7.54500000000000E+0002	 1.07598179826518E-0001	
 7.56500000000000E+0002	 1.07501912028088E-0001	
 7.58500000000000E+0002	 1.07499644229657E-0001	
 7.60500000000000E+0002	 1.07602876431227E-0001	
 7.62500000000000E+0002	 1.07777108632796E-0001	
 7.64500000000000E+0002	 1.07822340834366E-0001	
 7.66500000000000E+0002	 1.07450073035936E-0001	
 7.68500000000000E+0002	 1.06577305237505E-0001	
 7.70500000000000E+0002	 1.05498037439075E-0001	
 7.72500000000000E+0002	 1.04561769640644E-0001	
 7.74500000000000E+0002	 1.04040001842214E-0001	
 7.76500000000000E+0002	 1.04130734043784E-0001	
