*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
10:59


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.17608339220779E-0001	
 4.52500000000000E+0002	 1.17897676623377E-0001	
 4.54500000000000E+0002	 1.18058514025974E-0001	
 4.56500000000000E+0002	 1.18275351428571E-0001	
 4.58500000000000E+0002	 1.18297688831169E-0001	
 4.60500000000000E+0002	 1.18653026233766E-0001	
 4.62500000000000E+0002	 1.19083363636364E-0001	
 4.64500000000000E+0002	 1.19598201038961E-0001	
 4.66500000000000E+0002	 1.19889538441558E-0001	
 4.68500000000000E+0002	 1.20109875844156E-0001	
 4.70500000000000E+0002	 1.20290713246753E-0001	
 4.72500000000000E+0002	 1.20681050649351E-0001	
 4.74500000000000E+0002	 1.20986388051948E-0001	
 4.76500000000000E+0002	 1.21356725454545E-0001	
 4.78500000000000E+0002	 1.21752062857143E-0001	
 4.80500000000000E+0002	 1.22239900259740E-0001	
 4.82500000000000E+0002	 1.22664737662338E-0001	
 4.84500000000000E+0002	 1.23205575064935E-0001	
 4.86500000000000E+0002	 1.23664912467532E-0001	
 4.88500000000000E+0002	 1.24187249870130E-0001	
 4.90500000000000E+0002	 1.24696087272727E-0001	
 4.92500000000000E+0002	 1.25249424675325E-0001	
 4.94500000000000E+0002	 1.25793262077922E-0001	
 4.96500000000000E+0002	 1.26391599480519E-0001	
 4.98500000000000E+0002	 1.26882936883117E-0001	
 5.00500000000000E+0002	 1.27370274285714E-0001	
 5.02500000000000E+0002	 1.27758611688312E-0001	
 5.04500000000000E+0002	 1.28308949090909E-0001	
 5.06500000000000E+0002	 1.28843286493506E-0001	
 5.08500000000000E+0002	 1.29380123896104E-0001	
 5.10500000000000E+0002	 1.29898461298701E-0001	
 5.12500000000000E+0002	 1.30499298701299E-0001	
 5.14500000000000E+0002	 1.31102136103896E-0001	
 5.16500000000000E+0002	 1.31759973506494E-0001	
 5.18500000000000E+0002	 1.32437810909091E-0001	
 5.20500000000000E+0002	 1.33274148311688E-0001	
 5.22500000000000E+0002	 1.34133985714286E-0001	
 5.24500000000000E+0002	 1.34917823116883E-0001	
 5.26500000000000E+0002	 1.35695660519481E-0001	
 5.28500000000000E+0002	 1.36804497922078E-0001	
 5.30500000000000E+0002	 1.37853335324675E-0001	
 5.32500000000000E+0002	 1.38418672727273E-0001	
 5.34500000000000E+0002	 1.38502510129870E-0001	
 5.36500000000000E+0002	 1.38337847532468E-0001	
 5.38500000000000E+0002	 1.38021184935065E-0001	
 5.40500000000000E+0002	 1.37729022337662E-0001	
 5.42500000000000E+0002	 1.37486359740260E-0001	
 5.44500000000000E+0002	 1.37293697142857E-0001	
 5.46500000000000E+0002	 1.37146034545455E-0001	
 5.48500000000000E+0002	 1.37084871948052E-0001	
 5.50500000000000E+0002	 1.37089709350649E-0001	
 5.52500000000000E+0002	 1.37067546753247E-0001	
 5.54500000000000E+0002	 1.36939384155844E-0001	
 5.56500000000000E+0002	 1.36777221558442E-0001	
 5.58500000000000E+0002	 1.36574558961039E-0001	
 5.60500000000000E+0002	 1.36247896363636E-0001	
 5.62500000000000E+0002	 1.35852233766234E-0001	
 5.64500000000000E+0002	 1.35484071168831E-0001	
 5.66500000000000E+0002	 1.35143908571429E-0001	
 5.68500000000000E+0002	 1.34820745974026E-0001	
 5.70500000000000E+0002	 1.34541083376623E-0001	
 5.72500000000000E+0002	 1.34309920779221E-0001	
 5.74500000000000E+0002	 1.34150258181818E-0001	
 5.76500000000000E+0002	 1.34036095584416E-0001	
 5.78500000000000E+0002	 1.33988432987013E-0001	
 5.80500000000000E+0002	 1.33934270389610E-0001	
 5.82500000000000E+0002	 1.33823607792208E-0001	
 5.84500000000000E+0002	 1.33658945194805E-0001	
 5.86500000000000E+0002	 1.33485282597403E-0001	
 5.88500000000000E+0002	 1.33371120000000E-0001	
 5.90500000000000E+0002	 1.33335457402597E-0001	
 5.92500000000000E+0002	 1.33360794805195E-0001	
 5.94500000000000E+0002	 1.33485132207792E-0001	
