*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:4


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.43737579250983E-0001	
 4.52500000000000E+0002	 1.43808396254914E-0001	
 4.54500000000000E+0002	 1.44442713258845E-0001	
 4.56500000000000E+0002	 1.44496030262777E-0001	
 4.58500000000000E+0002	 1.44750347266708E-0001	
 4.60500000000000E+0002	 1.45311164270639E-0001	
 4.62500000000000E+0002	 1.46167481274571E-0001	
 4.64500000000000E+0002	 1.46752798278502E-0001	
 4.66500000000000E+0002	 1.47265115282433E-0001	
 4.68500000000000E+0002	 1.47416432286365E-0001	
 4.70500000000000E+0002	 1.47922749290296E-0001	
 4.72500000000000E+0002	 1.48203566294227E-0001	
 4.74500000000000E+0002	 1.48915883298158E-0001	
 4.76500000000000E+0002	 1.49513700302090E-0001	
 4.78500000000000E+0002	 1.50357017306021E-0001	
 4.80500000000000E+0002	 1.50951334309952E-0001	
 4.82500000000000E+0002	 1.51669151313884E-0001	
 4.84500000000000E+0002	 1.52151468317815E-0001	
 4.86500000000000E+0002	 1.52892785321746E-0001	
 4.88500000000000E+0002	 1.53665102325678E-0001	
 4.90500000000000E+0002	 1.54529919329609E-0001	
 4.92500000000000E+0002	 1.55168736333540E-0001	
 4.94500000000000E+0002	 1.56058553337472E-0001	
 4.96500000000000E+0002	 1.56702870341403E-0001	
 4.98500000000000E+0002	 1.57465687345334E-0001	
 5.00500000000000E+0002	 1.57953004349265E-0001	
 5.02500000000000E+0002	 1.58633821353197E-0001	
 5.04500000000000E+0002	 1.59510138357128E-0001	
 5.06500000000000E+0002	 1.60453955361059E-0001	
 5.08500000000000E+0002	 1.61012772364991E-0001	
 5.10500000000000E+0002	 1.61731089368922E-0001	
 5.12500000000000E+0002	 1.62393906372853E-0001	
 5.14500000000000E+0002	 1.63168723376785E-0001	
 5.16500000000000E+0002	 1.63780040380716E-0001	
 5.18500000000000E+0002	 1.64728357384647E-0001	
 5.20500000000000E+0002	 1.65786174388579E-0001	
 5.22500000000000E+0002	 1.66956991392510E-0001	
 5.24500000000000E+0002	 1.67588308396441E-0001	
 5.26500000000000E+0002	 1.68242125400372E-0001	
 5.28500000000000E+0002	 1.69181442404304E-0001	
 5.30500000000000E+0002	 1.70245259408235E-0001	
 5.32500000000000E+0002	 1.70780576412166E-0001	
 5.34500000000000E+0002	 1.71062393416098E-0001	
 5.36500000000000E+0002	 1.70982210420029E-0001	
 5.38500000000000E+0002	 1.70882527423960E-0001	
 5.40500000000000E+0002	 1.70648844427892E-0001	
 5.42500000000000E+0002	 1.70574161431823E-0001	
 5.44500000000000E+0002	 1.70393478435754E-0001	
 5.46500000000000E+0002	 1.70356295439685E-0001	
 5.48500000000000E+0002	 1.70271612443617E-0001	
 5.50500000000000E+0002	 1.70313929447548E-0001	
 5.52500000000000E+0002	 1.70242246451479E-0001	
 5.54500000000000E+0002	 1.70136563455411E-0001	
 5.56500000000000E+0002	 1.69812880459342E-0001	
 5.58500000000000E+0002	 1.69533697463273E-0001	
 5.60500000000000E+0002	 1.69065514467205E-0001	
 5.62500000000000E+0002	 1.68600331471136E-0001	
 5.64500000000000E+0002	 1.68035648475067E-0001	
 5.66500000000000E+0002	 1.67620965478999E-0001	
 5.68500000000000E+0002	 1.67145282482930E-0001	
 5.70500000000000E+0002	 1.66832599486861E-0001	
 5.72500000000000E+0002	 1.66499916490792E-0001	
 5.74500000000000E+0002	 1.66284733494724E-0001	
 5.76500000000000E+0002	 1.66023050498655E-0001	
 5.78500000000000E+0002	 1.66004367502586E-0001	
 5.80500000000000E+0002	 1.65844184506518E-0001	
 5.82500000000000E+0002	 1.65746001510449E-0001	
 5.84500000000000E+0002	 1.65560318514380E-0001	
 5.86500000000000E+0002	 1.65485635518312E-0001	
 5.88500000000000E+0002	 1.65387952522243E-0001	
 5.90500000000000E+0002	 1.65343769526174E-0001	
 5.92500000000000E+0002	 1.65301086530106E-0001	
 5.94500000000000E+0002	 1.65542903534037E-0001	
 5.96500000000000E+0002	 1.65759220537968E-0001	
 5.98500000000000E+0002	 1.66048537541899E-0001	
 6.00500000000000E+0002	 1.66241854545831E-0001	
 6.02500000000000E+0002	 1.66534171549762E-0001	
 6.04500000000000E+0002	 1.66605488553693E-0001	
 6.06500000000000E+0002	 1.66537305557625E-0001	
 6.08500000000000E+0002	 1.66202622561556E-0001	
 6.10500000000000E+0002	 1.65886939565487E-0001	
 6.12500000000000E+0002	 1.65525756569419E-0001	
 6.14500000000000E+0002	 1.65244073573350E-0001	
 6.16500000000000E+0002	 1.64890890577281E-0001	
 6.18500000000000E+0002	 1.64648207581212E-0001	
 6.20500000000000E+0002	 1.64344024585144E-0001	
 6.22500000000000E+0002	 1.64083341589075E-0001	
 6.24500000000000E+0002	 1.63700158593006E-0001	
 6.26500000000000E+0002	 1.63426475596938E-0001	
 6.28500000000000E+0002	 1.63151292600869E-0001	
 6.30500000000000E+0002	 1.62865109604800E-0001	
 6.32500000000000E+0002	 1.62424926608732E-0001	
 6.34500000000000E+0002	 1.61975243612663E-0001	
 6.36500000000000E+0002	 1.61486560616594E-0001	
 6.38500000000000E+0002	 1.61085377620526E-0001	
 6.40500000000000E+0002	 1.60602694624457E-0001	
 6.42500000000000E+0002	 1.60212511628388E-0001	
 6.44500000000000E+0002	 1.59768828632319E-0001	
 6.46500000000000E+0002	 1.59417645636251E-0001	
