*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:0


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 2.71540000000000E-0001	
 4.52500000000000E+0002	 2.71807000000000E-0001	
 4.54500000000000E+0002	 2.73453500000000E-0001	
 4.56500000000000E+0002	 2.75503500000000E-0001	
 4.58500000000000E+0002	 2.76758354154717E-0001	
 4.60500000000000E+0002	 2.78113542944103E-0001	
 4.62500000000000E+0002	 2.79382231733489E-0001	
 4.64500000000000E+0002	 2.80733920522876E-0001	
 4.66500000000000E+0002	 2.82001609312262E-0001	
 4.68500000000000E+0002	 2.83348298101649E-0001	
 4.70500000000000E+0002	 2.84765986891035E-0001	
 4.72500000000000E+0002	 2.86246175680421E-0001	
 4.74500000000000E+0002	 2.87791864469808E-0001	
 4.76500000000000E+0002	 2.89416053259194E-0001	
 4.78500000000000E+0002	 2.91185742048581E-0001	
 4.80500000000000E+0002	 2.93053430837967E-0001	
 4.82500000000000E+0002	 2.94978119627353E-0001	
 4.84500000000000E+0002	 2.97155308416740E-0001	
 4.86500000000000E+0002	 2.99477997206126E-0001	
 4.88500000000000E+0002	 3.01838185995513E-0001	
 4.90500000000000E+0002	 3.04139374784899E-0001	
 4.92500000000000E+0002	 3.06521063574285E-0001	
 4.94500000000000E+0002	 3.08824252363672E-0001	
 4.96500000000000E+0002	 3.11046441153058E-0001	
 4.98500000000000E+0002	 3.13184629942445E-0001	
 5.00500000000000E+0002	 3.15331318731831E-0001	
 5.02500000000000E+0002	 3.17592007521217E-0001	
 5.04500000000000E+0002	 3.19886696310604E-0001	
 5.06500000000000E+0002	 3.22095385099990E-0001	
 5.08500000000000E+0002	 3.24282573889377E-0001	
 5.10500000000000E+0002	 3.26523262678763E-0001	
 5.12500000000000E+0002	 3.28889951468149E-0001	
 5.14500000000000E+0002	 3.31329640257536E-0001	
 5.16500000000000E+0002	 3.33920829046922E-0001	
 5.18500000000000E+0002	 3.36679017836309E-0001	
 5.20500000000000E+0002	 3.38997706625695E-0001	
 5.22500000000000E+0002	 3.41677895415081E-0001	
 5.24500000000000E+0002	 3.44214584204468E-0001	
 5.26500000000000E+0002	 3.46722772993854E-0001	
 5.28500000000000E+0002	 3.50255461783241E-0001	
 5.30500000000000E+0002	 3.53087150572627E-0001	
 5.32500000000000E+0002	 3.54265339362013E-0001	
 5.34500000000000E+0002	 3.54393528151400E-0001	
 5.36500000000000E+0002	 3.53946716940786E-0001	
 5.38500000000000E+0002	 3.53212405730173E-0001	
 5.40500000000000E+0002	 3.52335594519559E-0001	
 5.42500000000000E+0002	 3.51599783308945E-0001	
 5.44500000000000E+0002	 3.50937972098332E-0001	
 5.46500000000000E+0002	 3.50437660887718E-0001	
 5.48500000000000E+0002	 3.50222349677105E-0001	
 5.50500000000000E+0002	 3.50188538466491E-0001	
 5.52500000000000E+0002	 3.50163727255877E-0001	
 5.54500000000000E+0002	 3.49731916045264E-0001	
 5.56500000000000E+0002	 3.48924604834650E-0001	
 5.58500000000000E+0002	 3.47960293624037E-0001	
