*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:10


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.42250702947846E-0001	
 4.52500000000000E+0002	 1.44552838486910E-0001	
 4.54500000000000E+0002	 1.48322974025974E-0001	
 4.56500000000000E+0002	 1.51555109565038E-0001	
 4.58500000000000E+0002	 1.53997245104102E-0001	
 4.60500000000000E+0002	 1.56493380643166E-0001	
 4.62500000000000E+0002	 1.59941016182230E-0001	
 4.64500000000000E+0002	 1.64152151721295E-0001	
 4.66500000000000E+0002	 1.64578787260359E-0001	
 4.68500000000000E+0002	 1.65290922799423E-0001	
 4.70500000000000E+0002	 1.69192558338487E-0001	
 4.72500000000000E+0002	 1.73086193877551E-0001	
 4.74500000000000E+0002	 1.75992329416615E-0001	
 4.76500000000000E+0002	 1.78335464955679E-0001	
 4.78500000000000E+0002	 1.81658600494743E-0001	
 4.80500000000000E+0002	 1.84928736033807E-0001	
 4.82500000000000E+0002	 1.87689371572872E-0001	
 4.84500000000000E+0002	 1.89819007111936E-0001	
 4.86500000000000E+0002	 1.92016642651000E-0001	
 4.88500000000000E+0002	 1.95496278190064E-0001	
 4.90500000000000E+0002	 1.97826913729128E-0001	
 4.92500000000000E+0002	 2.00266049268192E-0001	
 4.94500000000000E+0002	 2.04239684807256E-0001	
 4.96500000000000E+0002	 2.08071820346320E-0001	
 4.98500000000000E+0002	 2.10880955885384E-0001	
 5.00500000000000E+0002	 2.12284591424449E-0001	
 5.02500000000000E+0002	 2.14694726963513E-0001	
 5.04500000000000E+0002	 2.19672862502577E-0001	
 5.06500000000000E+0002	 2.24062498041641E-0001	
 5.08500000000000E+0002	 2.27400633580705E-0001	
 5.10500000000000E+0002	 2.30881269119769E-0001	
 5.12500000000000E+0002	 2.35234904658833E-0001	
 5.14500000000000E+0002	 2.38646540197897E-0001	
 5.16500000000000E+0002	 2.41055175736961E-0001	
 5.18500000000000E+0002	 2.44633811276026E-0001	
 5.20500000000000E+0002	 2.49696946815090E-0001	
 5.22500000000000E+0002	 2.54148582354154E-0001	
 5.24500000000000E+0002	 2.56334217893218E-0001	
 5.26500000000000E+0002	 2.58650853432282E-0001	
 5.28500000000000E+0002	 2.62624488971346E-0001	
 5.30500000000000E+0002	 2.66069624510410E-0001	
 5.32500000000000E+0002	 2.68030760049474E-0001	
 5.34500000000000E+0002	 2.69245895588538E-0001	
 5.36500000000000E+0002	 2.70120031127603E-0001	
 5.38500000000000E+0002	 2.70472166666667E-0001	
 5.40500000000000E+0002	 2.70270802205731E-0001	
 5.42500000000000E+0002	 2.69742937744795E-0001	
 5.44500000000000E+0002	 2.68736073283859E-0001	
 5.46500000000000E+0002	 2.67355708822923E-0001	
 5.48500000000000E+0002	 2.66058344361987E-0001	
 5.50500000000000E+0002	 2.65189479901051E-0001	
 5.52500000000000E+0002	 2.64866115440115E-0001	
 5.54500000000000E+0002	 2.64050250979180E-0001	
 5.56500000000000E+0002	 2.62863886518244E-0001	
 5.58500000000000E+0002	 2.61809022057308E-0001	
 5.60500000000000E+0002	 2.60876157596372E-0001	
 5.62500000000000E+0002	 2.59794793135436E-0001	
 5.64500000000000E+0002	 2.58653928674500E-0001	
 5.66500000000000E+0002	 2.57239564213564E-0001	
 5.68500000000000E+0002	 2.55892699752628E-0001	
 5.70500000000000E+0002	 2.55030835291692E-0001	
 5.72500000000000E+0002	 2.54574470830757E-0001	
 5.74500000000000E+0002	 2.53632106369821E-0001	
 5.76500000000000E+0002	 2.52581741908885E-0001	
 5.78500000000000E+0002	 2.51922377447949E-0001	
 5.80500000000000E+0002	 2.50751012987013E-0001	
 5.82500000000000E+0002	 2.49999648526077E-0001	
 5.84500000000000E+0002	 2.49508784065141E-0001	
 5.86500000000000E+0002	 2.49415919604205E-0001	
 5.88500000000000E+0002	 2.49290055143269E-0001	
 5.90500000000000E+0002	 2.48492190682334E-0001	
 5.92500000000000E+0002	 2.48443326221398E-0001	
 5.94500000000000E+0002	 2.49714961760462E-0001	
 5.96500000000000E+0002	 2.50808097299526E-0001	
 5.98500000000000E+0002	 2.50820732838590E-0001	
 6.00500000000000E+0002	 2.50802368377654E-0001	
 6.02500000000000E+0002	 2.51514003916718E-0001	
 6.04500000000000E+0002	 2.51970639455782E-0001	
 6.06500000000000E+0002	 2.52324274994846E-0001	
 6.08500000000000E+0002	 2.52793410533911E-0001	
 6.10500000000000E+0002	 2.53300046072975E-0001	
 6.12500000000000E+0002	 2.53834181612039E-0001	
 6.14500000000000E+0002	 2.54161317151103E-0001	
 6.16500000000000E+0002	 2.54397952690167E-0001	
 6.18500000000000E+0002	 2.54639588229231E-0001	
 6.20500000000000E+0002	 2.54530723768295E-0001	
 6.22500000000000E+0002	 2.54218359307359E-0001	
 6.24500000000000E+0002	 2.53481994846423E-0001	
 6.26500000000000E+0002	 2.52873630385488E-0001	
 6.28500000000000E+0002	 2.52529765924552E-0001	
 6.30500000000000E+0002	 2.51716401463616E-0001	
 6.32500000000000E+0002	 2.50548537002680E-0001	
