*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:12


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.94073308872367E-0001	
 4.52500000000000E+0002	 1.95744895662949E-0001	
 4.54500000000000E+0002	 1.96393982453532E-0001	
 4.56500000000000E+0002	 1.97494069244114E-0001	
 4.58500000000000E+0002	 1.99600656034696E-0001	
 4.60500000000000E+0002	 2.00581242825279E-0001	
 4.62500000000000E+0002	 2.01820329615861E-0001	
 4.64500000000000E+0002	 2.03673416406444E-0001	
 4.66500000000000E+0002	 2.04278503197026E-0001	
 4.68500000000000E+0002	 2.04754089987608E-0001	
 4.70500000000000E+0002	 2.06560176778191E-0001	
 4.72500000000000E+0002	 2.08153263568773E-0001	
 4.74500000000000E+0002	 2.09783850359356E-0001	
 4.76500000000000E+0002	 2.11071937149938E-0001	
 4.78500000000000E+0002	 2.11960023940520E-0001	
 4.80500000000000E+0002	 2.12590610731103E-0001	
 4.82500000000000E+0002	 2.13874197521685E-0001	
 4.84500000000000E+0002	 2.14715284312268E-0001	
 4.86500000000000E+0002	 2.15446371102850E-0001	
 4.88500000000000E+0002	 2.16603957893432E-0001	
 4.90500000000000E+0002	 2.17346544684015E-0001	
 4.92500000000000E+0002	 2.18012631474597E-0001	
 4.94500000000000E+0002	 2.19365218265180E-0001	
 4.96500000000000E+0002	 2.20644805055762E-0001	
 4.98500000000000E+0002	 2.21687391846344E-0001	
 5.00500000000000E+0002	 2.22401478636927E-0001	
 5.02500000000000E+0002	 2.23491065427509E-0001	
 5.04500000000000E+0002	 2.25072652218092E-0001	
 5.06500000000000E+0002	 2.26685239008674E-0001	
 5.08500000000000E+0002	 2.28024325799257E-0001	
 5.10500000000000E+0002	 2.29571412589839E-0001	
 5.12500000000000E+0002	 2.31515999380421E-0001	
 5.14500000000000E+0002	 2.33357086171004E-0001	
 5.16500000000000E+0002	 2.34856672961586E-0001	
 5.18500000000000E+0002	 2.36752759752169E-0001	
 5.20500000000000E+0002	 2.38821346542751E-0001	
 5.22500000000000E+0002	 2.40860433333333E-0001	
 5.24500000000000E+0002	 2.42931520123916E-0001	
 5.26500000000000E+0002	 2.46093606914498E-0001	
 5.28500000000000E+0002	 2.49886693705081E-0001	
 5.30500000000000E+0002	 2.52145280495663E-0001	
 5.32500000000000E+0002	 2.51653367286245E-0001	
 5.34500000000000E+0002	 2.50013954076828E-0001	
 5.36500000000000E+0002	 2.48573540867410E-0001	
 5.38500000000000E+0002	 2.47232627657993E-0001	
 5.40500000000000E+0002	 2.45552714448575E-0001	
 5.42500000000000E+0002	 2.44007301239157E-0001	
 5.44500000000000E+0002	 2.42610888029740E-0001	
 5.46500000000000E+0002	 2.41239474820322E-0001	
 5.48500000000000E+0002	 2.39710561610905E-0001	
 5.50500000000000E+0002	 2.38455648401487E-0001	
 5.52500000000000E+0002	 2.37459735192069E-0001	
 5.54500000000000E+0002	 2.36542821982652E-0001	
 5.56500000000000E+0002	 2.35411908773234E-0001	
 5.58500000000000E+0002	 2.34433995563817E-0001	
 5.60500000000000E+0002	 2.33459082354399E-0001	
 5.62500000000000E+0002	 2.32355669144981E-0001	
 5.64500000000000E+0002	 2.31406755935564E-0001	
 5.66500000000000E+0002	 2.30529842726146E-0001	
 5.68500000000000E+0002	 2.29436929516729E-0001	
 5.70500000000000E+0002	 2.28401516307311E-0001	
 5.72500000000000E+0002	 2.27566603097893E-0001	
 5.74500000000000E+0002	 2.26731689888476E-0001	
 5.76500000000000E+0002	 2.25884776679058E-0001	
 5.78500000000000E+0002	 2.25220863469641E-0001	
 5.80500000000000E+0002	 2.24479450260223E-0001	
 5.82500000000000E+0002	 2.23920537050805E-0001	
 5.84500000000000E+0002	 2.23129123841388E-0001	
 5.86500000000000E+0002	 2.22434710631970E-0001	
 5.88500000000000E+0002	 2.21924797422553E-0001	
 5.90500000000000E+0002	 2.21365384213135E-0001	
