*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:15


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.25390557850318E-0001	
 4.52500000000000E+0002	 1.25491871626441E-0001	
 4.54500000000000E+0002	 1.26373685402563E-0001	
 4.56500000000000E+0002	 1.26900999178686E-0001	
 4.58500000000000E+0002	 1.27371812954808E-0001	
 4.60500000000000E+0002	 1.27927626730931E-0001	
 4.62500000000000E+0002	 1.28721440507053E-0001	
 4.64500000000000E+0002	 1.29563254283176E-0001	
 4.66500000000000E+0002	 1.29569568059298E-0001	
 4.68500000000000E+0002	 1.29594881835421E-0001	
 4.70500000000000E+0002	 1.30279695611543E-0001	
 4.72500000000000E+0002	 1.30891509387666E-0001	
 4.74500000000000E+0002	 1.31606323163788E-0001	
 4.76500000000000E+0002	 1.32216636939911E-0001	
 4.78500000000000E+0002	 1.32971450716033E-0001	
 4.80500000000000E+0002	 1.33568264492156E-0001	
 4.82500000000000E+0002	 1.34021078268278E-0001	
 4.84500000000000E+0002	 1.34276892044401E-0001	
 4.86500000000000E+0002	 1.34710205820523E-0001	
 4.88500000000000E+0002	 1.35392519596646E-0001	
 4.90500000000000E+0002	 1.35707333372768E-0001	
 4.92500000000000E+0002	 1.36028147148891E-0001	
 4.94500000000000E+0002	 1.36756460925013E-0001	
 4.96500000000000E+0002	 1.37445274701136E-0001	
 4.98500000000000E+0002	 1.38009088477258E-0001	
 5.00500000000000E+0002	 1.38146402253381E-0001	
 5.02500000000000E+0002	 1.38480716029503E-0001	
 5.04500000000000E+0002	 1.39609029805626E-0001	
 5.06500000000000E+0002	 1.40635343581748E-0001	
 5.08500000000000E+0002	 1.41416657357871E-0001	
 5.10500000000000E+0002	 1.42256971133993E-0001	
 5.12500000000000E+0002	 1.43246284910116E-0001	
 5.14500000000000E+0002	 1.44042098686238E-0001	
 5.16500000000000E+0002	 1.44536912462360E-0001	
 5.18500000000000E+0002	 1.45300726238483E-0001	
 5.20500000000000E+0002	 1.46617540014605E-0001	
 5.22500000000000E+0002	 1.47915353790728E-0001	
 5.24500000000000E+0002	 1.48840667566850E-0001	
 5.26500000000000E+0002	 1.50312481342973E-0001	
 5.28500000000000E+0002	 1.52432795119095E-0001	
 5.30500000000000E+0002	 1.53723108895218E-0001	
 5.32500000000000E+0002	 1.53727422671340E-0001	
 5.34500000000000E+0002	 1.53127736447463E-0001	
 5.36500000000000E+0002	 1.52548550223585E-0001	
 5.38500000000000E+0002	 1.52009863999708E-0001	
 5.40500000000000E+0002	 1.51480177775830E-0001	
 5.42500000000000E+0002	 1.50932491551953E-0001	
 5.44500000000000E+0002	 1.50392305328075E-0001	
 5.46500000000000E+0002	 1.49786119104198E-0001	
 5.48500000000000E+0002	 1.49332432880320E-0001	
 5.50500000000000E+0002	 1.49029246656443E-0001	
 5.52500000000000E+0002	 1.48970560432565E-0001	
 5.54500000000000E+0002	 1.48778374208688E-0001	
 5.56500000000000E+0002	 1.48569687984810E-0001	
 5.58500000000000E+0002	 1.48312001760933E-0001	
 5.60500000000000E+0002	 1.48079315537055E-0001	
 5.62500000000000E+0002	 1.47682629313178E-0001	
 5.64500000000000E+0002	 1.47293943089300E-0001	
 5.66500000000000E+0002	 1.46775756865423E-0001	
 5.68500000000000E+0002	 1.46336570641545E-0001	
 5.70500000000000E+0002	 1.45948884417668E-0001	
 5.72500000000000E+0002	 1.45799698193790E-0001	
 5.74500000000000E+0002	 1.45415011969913E-0001	
 5.76500000000000E+0002	 1.45087825746035E-0001	
 5.78500000000000E+0002	 1.44864639522158E-0001	
 5.80500000000000E+0002	 1.44594453298280E-0001	
 5.82500000000000E+0002	 1.44258267074403E-0001	
 5.84500000000000E+0002	 1.44008080850525E-0001	
 5.86500000000000E+0002	 1.43753894626648E-0001	
 5.88500000000000E+0002	 1.43653208402770E-0001	
 5.90500000000000E+0002	 1.43280022178893E-0001	
 5.92500000000000E+0002	 1.43156335955015E-0001	
 5.94500000000000E+0002	 1.43250149731138E-0001	
 5.96500000000000E+0002	 1.43378963507260E-0001	
 5.98500000000000E+0002	 1.43151277283383E-0001	
 6.00500000000000E+0002	 1.43000091059505E-0001	
 6.02500000000000E+0002	 1.42937904835628E-0001	
 6.04500000000000E+0002	 1.42954718611750E-0001	
 6.06500000000000E+0002	 1.42837532387873E-0001	
 6.08500000000000E+0002	 1.42820346163995E-0001	
 6.10500000000000E+0002	 1.42666659940118E-0001	
 6.12500000000000E+0002	 1.42618473716240E-0001	
 6.14500000000000E+0002	 1.42434787492363E-0001	
 6.16500000000000E+0002	 1.42410101268485E-0001	
 6.18500000000000E+0002	 1.42213915044608E-0001	
 6.20500000000000E+0002	 1.41982228820730E-0001	
 6.22500000000000E+0002	 1.41549042596853E-0001	
 6.24500000000000E+0002	 1.41129356372975E-0001	
 6.26500000000000E+0002	 1.40629670149098E-0001	
 6.28500000000000E+0002	 1.40368983925220E-0001	
 6.30500000000000E+0002	 1.39873297701342E-0001	
 6.32500000000000E+0002	 1.39370611477465E-0001	
 6.34500000000000E+0002	 1.38719425253587E-0001	
 6.36500000000000E+0002	 1.38438739029710E-0001	
 6.38500000000000E+0002	 1.38116052805832E-0001	
 6.40500000000000E+0002	 1.37947866581955E-0001	
 6.42500000000000E+0002	 1.37698680358077E-0001	
 6.44500000000000E+0002	 1.37560494134200E-0001	
 6.46500000000000E+0002	 1.37258807910322E-0001	
 6.48500000000000E+0002	 1.37145121686445E-0001	
 6.50500000000000E+0002	 1.36874435462567E-0001	
 6.52500000000000E+0002	 1.36777249238690E-0001	
 6.54500000000000E+0002	 1.36560063014812E-0001	
 6.56500000000000E+0002	 1.36466876790935E-0001	
 6.58500000000000E+0002	 1.36167190567057E-0001	
 6.60500000000000E+0002	 1.36034504343180E-0001	
 6.62500000000000E+0002	 1.35748818119302E-0001	
 6.64500000000000E+0002	 1.35594131895425E-0001	
 6.66500000000000E+0002	 1.35378445671547E-0001	
 6.68500000000000E+0002	 1.34943259447670E-0001	
 6.70500000000000E+0002	 1.34064073223792E-0001	
 6.72500000000000E+0002	 1.33662386999915E-0001	
 6.74500000000000E+0002	 1.33047200776037E-0001	
 6.76500000000000E+0002	 1.32515514552160E-0001	
 6.78500000000000E+0002	 1.31832328328282E-0001	
 6.80500000000000E+0002	 1.31334142104405E-0001	
 6.82500000000000E+0002	 1.30742955880527E-0001	
 6.84500000000000E+0002	 1.30320269656650E-0001	
 6.86500000000000E+0002	 1.29759083432772E-0001	
 6.88500000000000E+0002	 1.29356897208895E-0001	
 6.90500000000000E+0002	 1.29017210985017E-0001	
 6.92500000000000E+0002	 1.28936524761140E-0001	
 6.94500000000000E+0002	 1.28775838537262E-0001	
 6.96500000000000E+0002	 1.28836652313385E-0001	
 6.98500000000000E+0002	 1.28833466089507E-0001	
 7.00500000000000E+0002	 1.28764279865630E-0001	
 7.02500000000000E+0002	 1.28225093641752E-0001	
 7.04500000000000E+0002	 1.27506407417875E-0001	
 7.06500000000000E+0002	 1.26669721193997E-0001	
 7.08500000000000E+0002	 1.25992034970120E-0001	
 7.10500000000000E+0002	 1.25383348746242E-0001	
 7.12500000000000E+0002	 1.24921662522365E-0001	
 7.14500000000000E+0002	 1.24326976298487E-0001	
 7.16500000000000E+0002	 1.23772290074610E-0001	
 7.18500000000000E+0002	 1.23243103850732E-0001	
 7.20500000000000E+0002	 1.22620917626855E-0001	
 7.22500000000000E+0002	 1.21793731402977E-0001	
 7.24500000000000E+0002	 1.20902545179100E-0001	
 7.26500000000000E+0002	 1.19965858955222E-0001	
 7.28500000000000E+0002	 1.19030672731345E-0001	
 7.30500000000000E+0002	 1.18144486507467E-0001	
 7.32500000000000E+0002	 1.17285800283590E-0001	
 7.34500000000000E+0002	 1.16571614059712E-0001	
 7.36500000000000E+0002	 1.15972927835835E-0001	
 7.38500000000000E+0002	 1.15522741611957E-0001	
 7.40500000000000E+0002	 1.15083055388080E-0001	
 7.42500000000000E+0002	 1.14732369164202E-0001	
 7.44500000000000E+0002	 1.14291182940324E-0001	
 7.46500000000000E+0002	 1.13928996716447E-0001	
 7.48500000000000E+0002	 1.13433310492569E-0001	
 7.50500000000000E+0002	 1.12967124268692E-0001	
 7.52500000000000E+0002	 1.12385438044814E-0001	
 7.54500000000000E+0002	 1.11926751820937E-0001	
 7.56500000000000E+0002	 1.11358565597059E-0001	
 7.58500000000000E+0002	 1.10893879373182E-0001	
 7.60500000000000E+0002	 1.10323693149304E-0001	
 7.62500000000000E+0002	 1.09989506925427E-0001	
 7.64500000000000E+0002	 1.09637320701549E-0001	
 7.66500000000000E+0002	 1.09444134477672E-0001	
 7.68500000000000E+0002	 1.09051948253794E-0001	
 7.70500000000000E+0002	 1.08779762029917E-0001	
 7.72500000000000E+0002	 1.08391075806039E-0001	
 7.74500000000000E+0002	 1.08271889582162E-0001	
 7.76500000000000E+0002	 1.08204703358284E-0001	
 7.78500000000000E+0002	 1.08389017134407E-0001	
 7.80500000000000E+0002	 1.08143330910529E-0001	
 7.82500000000000E+0002	 1.07610644686652E-0001	
 7.84500000000000E+0002	 1.06753458462774E-0001	
 7.86500000000000E+0002	 1.06136772238897E-0001	
 7.88500000000000E+0002	 1.05461586015019E-0001	
 7.90500000000000E+0002	 1.05011899791142E-0001	
 7.92500000000000E+0002	 1.04597713567264E-0001	
 7.94500000000000E+0002	 1.04515527343387E-0001	
 7.96500000000000E+0002	 1.04303341119509E-0001	
 7.98500000000000E+0002	 1.04057654895632E-0001	
 8.00500000000000E+0002	 1.03585968671754E-0001	
 8.02500000000000E+0002	 1.03265282447877E-0001	
 8.04500000000000E+0002	 1.02978596223999E-0001	
 8.06500000000000E+0002	 1.02909410000122E-0001	
 8.08500000000000E+0002	 1.02758223776244E-0001	
 8.10500000000000E+0002	 1.02628037552367E-0001	
 8.12500000000000E+0002	 1.02332851328489E-0001	
 8.14500000000000E+0002	 1.02019665104612E-0001	
 8.16500000000000E+0002	 1.01595978880734E-0001	
 8.18500000000000E+0002	 1.01184292656857E-0001	
 8.20500000000000E+0002	 1.00766606432979E-0001	
 8.22500000000000E+0002	 1.00394420209102E-0001	
 8.24500000000000E+0002	 1.00062233985224E-0001	
 8.26500000000000E+0002	 9.97605477613466E-0002	
 8.28500000000000E+0002	 9.94973615374691E-0002	
 8.30500000000000E+0002	 9.92526753135916E-0002	
 8.32500000000000E+0002	 9.90374890897141E-0002	
 8.34500000000000E+0002	 9.88053028658366E-0002	
 8.36500000000000E+0002	 9.86381166419591E-0002	
 8.38500000000000E+0002	 9.84499304180816E-0002	
 8.40500000000000E+0002	 9.83902441942041E-0002	
 8.42500000000000E+0002	 9.82950579703266E-0002	
 8.44500000000000E+0002	 9.83488717464490E-0002	
 8.46500000000000E+0002	 9.83666855225715E-0002	
 8.48500000000000E+0002	 9.85509992986940E-0002	
 8.50500000000000E+0002	 9.86763130748165E-0002	
 8.52500000000000E+0002	 9.90146268509390E-0002	
 8.54500000000000E+0002	 9.93044406270615E-0002	
 8.56500000000000E+0002	 9.97867544031840E-0002	
 8.58500000000000E+0002	 1.00108568179306E-0001	
 8.60500000000000E+0002	 1.00521881955429E-0001	
 8.62500000000000E+0002	 1.00685195731551E-0001	
 8.64500000000000E+0002	 1.00942009507674E-0001	
 8.66500000000000E+0002	 1.01031823283796E-0001	
 8.68500000000000E+0002	 1.01609137059919E-0001	
 8.70500000000000E+0002	 1.02850450836041E-0001	
 8.72500000000000E+0002	 1.04361264612164E-0001	
 8.74500000000000E+0002	 1.04242078388286E-0001	
 8.76500000000000E+0002	 1.03309892164409E-0001	
 8.78500000000000E+0002	 1.02249205940531E-0001	
 8.80500000000000E+0002	 1.01511519716654E-0001	
 8.82500000000000E+0002	 1.00685833492776E-0001	
 8.84500000000000E+0002	 1.00073147268899E-0001	
 8.86500000000000E+0002	 9.93524610450214E-0002	
 8.88500000000000E+0002	 9.88892748211439E-0002	
 8.90500000000000E+0002	 9.84150885972663E-0002	
 8.92500000000000E+0002	 9.81844023733888E-0002	
 8.94500000000000E+0002	 9.79267161495113E-0002	
 8.96500000000000E+0002	 9.78295299256338E-0002	
 8.98500000000000E+0002	 9.76308437017563E-0002	
 9.00500000000000E+0002	 9.75686574778788E-0002	
 9.02500000000000E+0002	 9.74909712540013E-0002	
 9.04500000000000E+0002	 9.76237850301238E-0002	
 9.06500000000000E+0002	 9.78380988062463E-0002	
 9.08500000000000E+0002	 9.82214125823688E-0002	
 9.10500000000000E+0002	 9.85892263584913E-0002	
 9.12500000000000E+0002	 9.89150401346137E-0002	
 9.14500000000000E+0002	 9.90528539107362E-0002	
 9.16500000000000E+0002	 9.90021676868587E-0002	
 9.18500000000000E+0002	 9.87694814629812E-0002	
 9.20500000000000E+0002	 9.84292952391037E-0002	
 9.22500000000000E+0002	 9.81186090152262E-0002	
 9.24500000000000E+0002	 9.78724227913487E-0002	
 9.26500000000000E+0002	 9.78112365674712E-0002	
 9.28500000000000E+0002	 9.78405503435937E-0002	
 9.30500000000000E+0002	 9.80198641197162E-0002	
 9.32500000000000E+0002	 9.81931778958387E-0002	
 9.34500000000000E+0002	 9.85029916719611E-0002	
 9.36500000000000E+0002	 9.87928054480836E-0002	
 9.38500000000000E+0002	 9.92556192242061E-0002	
 9.40500000000000E+0002	 9.97194330003286E-0002	
