*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:11


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.53543245557617E-0001	
 4.52500000000000E+0002	 1.53750255617398E-0001	
 4.54500000000000E+0002	 1.54010765677180E-0001	
 4.56500000000000E+0002	 1.54540775736961E-0001	
 4.58500000000000E+0002	 1.55018285796743E-0001	
 4.60500000000000E+0002	 1.55760295856524E-0001	
 4.62500000000000E+0002	 1.56782305916306E-0001	
 4.64500000000000E+0002	 1.57907815976087E-0001	
 4.66500000000000E+0002	 1.58110826035869E-0001	
 4.68500000000000E+0002	 1.58286836095650E-0001	
 4.70500000000000E+0002	 1.59343846155432E-0001	
 4.72500000000000E+0002	 1.60196856215213E-0001	
 4.74500000000000E+0002	 1.60728366274995E-0001	
 4.76500000000000E+0002	 1.61162876334776E-0001	
 4.78500000000000E+0002	 1.61943386394558E-0001	
 4.80500000000000E+0002	 1.62671396454339E-0001	
 4.82500000000000E+0002	 1.63434906514121E-0001	
 4.84500000000000E+0002	 1.63907916573902E-0001	
 4.86500000000000E+0002	 1.64283926633684E-0001	
 4.88500000000000E+0002	 1.64942436693465E-0001	
 4.90500000000000E+0002	 1.65411946753247E-0001	
 4.92500000000000E+0002	 1.65919456813028E-0001	
 4.94500000000000E+0002	 1.66781466872810E-0001	
 4.96500000000000E+0002	 1.67607476932591E-0001	
 4.98500000000000E+0002	 1.68327986992373E-0001	
 5.00500000000000E+0002	 1.68673497052154E-0001	
 5.02500000000000E+0002	 1.69152007111936E-0001	
 5.04500000000000E+0002	 1.70291517171717E-0001	
 5.06500000000000E+0002	 1.71439027231499E-0001	
 5.08500000000000E+0002	 1.72204537291280E-0001	
 5.10500000000000E+0002	 1.73065547351062E-0001	
 5.12500000000000E+0002	 1.74155557410843E-0001	
 5.14500000000000E+0002	 1.75003567470625E-0001	
 5.16500000000000E+0002	 1.75642577530406E-0001	
 5.18500000000000E+0002	 1.76491087590188E-0001	
 5.20500000000000E+0002	 1.77506097649969E-0001	
 5.22500000000000E+0002	 1.78458607709751E-0001	
 5.24500000000000E+0002	 1.78970617769532E-0001	
 5.26500000000000E+0002	 1.79655127829314E-0001	
 5.28500000000000E+0002	 1.80749637889095E-0001	
 5.30500000000000E+0002	 1.81548147948877E-0001	
 5.32500000000000E+0002	 1.81818658008658E-0001	
 5.34500000000000E+0002	 1.81959168068439E-0001	
 5.36500000000000E+0002	 1.82004678128221E-0001	
 5.38500000000000E+0002	 1.81924188188002E-0001	
 5.40500000000000E+0002	 1.81675698247784E-0001	
 5.42500000000000E+0002	 1.81373708307565E-0001	
 5.44500000000000E+0002	 1.81019218367347E-0001	
 5.46500000000000E+0002	 1.80627728427128E-0001	
 5.48500000000000E+0002	 1.80173238486910E-0001	
 5.50500000000000E+0002	 1.79913748546691E-0001	
 5.52500000000000E+0002	 1.79711758606473E-0001	
 5.54500000000000E+0002	 1.79435768666254E-0001	
 5.56500000000000E+0002	 1.79102278726036E-0001	
 5.58500000000000E+0002	 1.78833788785817E-0001	
 5.60500000000000E+0002	 1.78474298845599E-0001	
 5.62500000000000E+0002	 1.78042808905380E-0001	
 5.64500000000000E+0002	 1.77561318965162E-0001	
 5.66500000000000E+0002	 1.77158829024943E-0001	
