*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:19


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.67024104366110E-0001	
 4.52500000000000E+0002	 1.67395464316636E-0001	
 4.54500000000000E+0002	 1.68608324267161E-0001	
 4.56500000000000E+0002	 1.69416184217687E-0001	
 4.58500000000000E+0002	 1.70157044168213E-0001	
 4.60500000000000E+0002	 1.70853404118738E-0001	
 4.62500000000000E+0002	 1.71957764069264E-0001	
 4.64500000000000E+0002	 1.73250124019790E-0001	
 4.66500000000000E+0002	 1.73496983970315E-0001	
 4.68500000000000E+0002	 1.73588343920841E-0001	
 4.70500000000000E+0002	 1.74642203871367E-0001	
 4.72500000000000E+0002	 1.75577563821892E-0001	
 4.74500000000000E+0002	 1.76433923772418E-0001	
 4.76500000000000E+0002	 1.77014283722944E-0001	
 4.78500000000000E+0002	 1.78026143673469E-0001	
 4.80500000000000E+0002	 1.78888503623995E-0001	
 4.82500000000000E+0002	 1.79643863574521E-0001	
 4.84500000000000E+0002	 1.80209223525046E-0001	
 4.86500000000000E+0002	 1.80865583475572E-0001	
 4.88500000000000E+0002	 1.81905443426098E-0001	
 4.90500000000000E+0002	 1.82617303376623E-0001	
 4.92500000000000E+0002	 1.83227663327149E-0001	
 4.94500000000000E+0002	 1.84402023277675E-0001	
 4.96500000000000E+0002	 1.85411383228200E-0001	
 4.98500000000000E+0002	 1.86304743178726E-0001	
 5.00500000000000E+0002	 1.86659603129252E-0001	
 5.02500000000000E+0002	 1.87271963079777E-0001	
 5.04500000000000E+0002	 1.88630323030303E-0001	
 5.06500000000000E+0002	 1.89966682980829E-0001	
 5.08500000000000E+0002	 1.90907042931354E-0001	
 5.10500000000000E+0002	 1.91962402881880E-0001	
 5.12500000000000E+0002	 1.93341762832406E-0001	
 5.14500000000000E+0002	 1.94553122782931E-0001	
 5.16500000000000E+0002	 1.95365482733457E-0001	
 5.18500000000000E+0002	 1.96747842683983E-0001	
 5.20500000000000E+0002	 1.98729702634508E-0001	
 5.22500000000000E+0002	 2.00771562585034E-0001	
 5.24500000000000E+0002	 2.02355922535560E-0001	
 5.26500000000000E+0002	 2.04707282486085E-0001	
 5.28500000000000E+0002	 2.07978642436611E-0001	
 5.30500000000000E+0002	 2.10392502387137E-0001	
 5.32500000000000E+0002	 2.10686862337662E-0001	
 5.34500000000000E+0002	 2.09747722288188E-0001	
 5.36500000000000E+0002	 2.08567582238714E-0001	
