*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:27


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.50705500000000E-0001	
 4.52500000000000E+0002	 1.50809000000000E-0001	
 4.54500000000000E+0002	 1.51157500000000E-0001	
 4.56500000000000E+0002	 1.50974500000000E-0001	
 4.58500000000000E+0002	 1.51409132586089E-0001	
 4.60500000000000E+0002	 1.51608804708809E-0001	
 4.62500000000000E+0002	 1.52096476831529E-0001	
 4.64500000000000E+0002	 1.52269648954248E-0001	
 4.66500000000000E+0002	 1.52944321076968E-0001	
 4.68500000000000E+0002	 1.53308993199688E-0001	
 4.70500000000000E+0002	 1.53573165322408E-0001	
 4.72500000000000E+0002	 1.53580337445127E-0001	
 4.74500000000000E+0002	 1.54196009567847E-0001	
 4.76500000000000E+0002	 1.54523181690567E-0001	
 4.78500000000000E+0002	 1.54884353813287E-0001	
 4.80500000000000E+0002	 1.55104025936006E-0001	
 4.82500000000000E+0002	 1.55542698058726E-0001	
 4.84500000000000E+0002	 1.55693870181446E-0001	
 4.86500000000000E+0002	 1.56245042304165E-0001	
 4.88500000000000E+0002	 1.56643214426885E-0001	
 4.90500000000000E+0002	 1.57199886549605E-0001	
 4.92500000000000E+0002	 1.57492058672325E-0001	
 4.94500000000000E+0002	 1.58117730795044E-0001	
 4.96500000000000E+0002	 1.58722402917764E-0001	
 4.98500000000000E+0002	 1.59452075040484E-0001	
 5.00500000000000E+0002	 1.59609747163204E-0001	
 5.02500000000000E+0002	 1.59943419285923E-0001	
 5.04500000000000E+0002	 1.60361591408643E-0001	
 5.06500000000000E+0002	 1.60875763531363E-0001	
 5.08500000000000E+0002	 1.61156935654083E-0001	
 5.10500000000000E+0002	 1.61662607776802E-0001	
 5.12500000000000E+0002	 1.62024279899522E-0001	
 5.14500000000000E+0002	 1.62549452022242E-0001	
 5.16500000000000E+0002	 1.62859124144961E-0001	
 5.18500000000000E+0002	 1.63351796267681E-0001	
 5.20500000000000E+0002	 1.63703468390401E-0001	
 5.22500000000000E+0002	 1.64116140513121E-0001	
 5.24500000000000E+0002	 1.64190812635840E-0001	
 5.26500000000000E+0002	 1.64403484758560E-0001	
 5.28500000000000E+0002	 1.64680156881280E-0001	
 5.30500000000000E+0002	 1.64990829004000E-0001	
 5.32500000000000E+0002	 1.64970001126719E-0001	
 5.34500000000000E+0002	 1.64798673249439E-0001	
 5.36500000000000E+0002	 1.64461345372159E-0001	
 5.38500000000000E+0002	 1.64143517494879E-0001	
 5.40500000000000E+0002	 1.63622189617598E-0001	
 5.42500000000000E+0002	 1.63244861740318E-0001	
 5.44500000000000E+0002	 1.62811033863038E-0001	
 5.46500000000000E+0002	 1.62479205985757E-0001	
 5.48500000000000E+0002	 1.62152878108477E-0001	
 5.50500000000000E+0002	 1.61979550231197E-0001	
 5.52500000000000E+0002	 1.61749222353917E-0001	
 5.54500000000000E+0002	 1.61684394476636E-0001	
 5.56500000000000E+0002	 1.61667066599356E-0001	
 5.58500000000000E+0002	 1.61666738722076E-0001	
 5.60500000000000E+0002	 1.61460410844796E-0001	
 5.62500000000000E+0002	 1.61295082967515E-0001	
 5.64500000000000E+0002	 1.61134255090235E-0001	
 5.66500000000000E+0002	 1.60981927212955E-0001	
 5.68500000000000E+0002	 1.60732099335675E-0001	
 5.70500000000000E+0002	 1.60675271458394E-0001	
 5.72500000000000E+0002	 1.60610943581114E-0001	
 5.74500000000000E+0002	 1.60464115703834E-0001	
 5.76500000000000E+0002	 1.60189287826554E-0001	
 5.78500000000000E+0002	 1.59991959949273E-0001	
 5.80500000000000E+0002	 1.59481632071993E-0001	
 5.82500000000000E+0002	 1.58905804194713E-0001	
 5.84500000000000E+0002	 1.58431476317432E-0001	
 5.86500000000000E+0002	 1.58227148440152E-0001	
 5.88500000000000E+0002	 1.58015320562872E-0001	
 5.90500000000000E+0002	 1.57908992685592E-0001	
 5.92500000000000E+0002	 1.57876164808311E-0001	
 5.94500000000000E+0002	 1.58017336931031E-0001	
 5.96500000000000E+0002	 1.58049509053751E-0001	
 5.98500000000000E+0002	 1.58071681176471E-0001	
 6.00500000000000E+0002	 1.57953353299190E-0001	
 6.02500000000000E+0002	 1.57982025421910E-0001	
 6.04500000000000E+0002	 1.57894197544630E-0001	
 6.06500000000000E+0002	 1.57919369667350E-0001	
 6.08500000000000E+0002	 1.57879041790069E-0001	
 6.10500000000000E+0002	 1.57831713912789E-0001	
 6.12500000000000E+0002	 1.57616386035509E-0001	
 6.14500000000000E+0002	 1.57448058158228E-0001	
 6.16500000000000E+0002	 1.57011730280948E-0001	
 6.18500000000000E+0002	 1.56538902403668E-0001	
 6.20500000000000E+0002	 1.55877574526388E-0001	
 6.22500000000000E+0002	 1.55318246649107E-0001	
 6.24500000000000E+0002	 1.54722418771827E-0001	
 6.26500000000000E+0002	 1.54364590894547E-0001	
 6.28500000000000E+0002	 1.53970263017267E-0001	
 6.30500000000000E+0002	 1.53674435139986E-0001	
 6.32500000000000E+0002	 1.53186107262706E-0001	
 6.34500000000000E+0002	 1.52863779385426E-0001	
 6.36500000000000E+0002	 1.52540951508146E-0001	
 6.38500000000000E+0002	 1.52354623630865E-0001	
 6.40500000000000E+0002	 1.52022295753585E-0001	
 6.42500000000000E+0002	 1.51762467876305E-0001	
 6.44500000000000E+0002	 1.51320639999024E-0001	
 6.46500000000000E+0002	 1.51040312121744E-0001	
 6.48500000000000E+0002	 1.50632484244464E-0001	
 6.50500000000000E+0002	 1.50322656367184E-0001	
 6.52500000000000E+0002	 1.49889328489903E-0001	
 6.54500000000000E+0002	 1.49708500612623E-0001	
