*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:30


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 8.97051815099621E-0002	
 4.52500000000000E+0002	 8.99155920168937E-0002	
 4.54500000000000E+0002	 9.02560025238252E-0002	
 4.56500000000000E+0002	 9.08169130307567E-0002	
 4.58500000000000E+0002	 9.12878235376882E-0002	
 4.60500000000000E+0002	 9.17457340446197E-0002	
 4.62500000000000E+0002	 9.22231445515512E-0002	
 4.64500000000000E+0002	 9.28915550584827E-0002	
 4.66500000000000E+0002	 9.33514655654142E-0002	
 4.68500000000000E+0002	 9.37458760723458E-0002	
 4.70500000000000E+0002	 9.40817865792773E-0002	
 4.72500000000000E+0002	 9.45196970862088E-0002	
 4.74500000000000E+0002	 9.50531075931403E-0002	
 4.76500000000000E+0002	 9.56190181000718E-0002	
 4.78500000000000E+0002	 9.60909286070033E-0002	
 4.80500000000000E+0002	 9.65443391139348E-0002	
 4.82500000000000E+0002	 9.69167496208663E-0002	
 4.84500000000000E+0002	 9.73846601277979E-0002	
 4.86500000000000E+0002	 9.79975706347294E-0002	
 4.88500000000000E+0002	 9.85929811416609E-0002	
 4.90500000000000E+0002	 9.90203916485924E-0002	
 4.92500000000000E+0002	 9.95733021555239E-0002	
 4.94500000000000E+0002	 1.00306212662455E-0001	
 4.96500000000000E+0002	 1.00985123169387E-0001	
 4.98500000000000E+0002	 1.01582533676318E-0001	
 5.00500000000000E+0002	 1.02199944183250E-0001	
 5.02500000000000E+0002	 1.02779354690181E-0001	
 5.04500000000000E+0002	 1.03391265197113E-0001	
 5.06500000000000E+0002	 1.03938175704044E-0001	
 5.08500000000000E+0002	 1.04413086210976E-0001	
 5.10500000000000E+0002	 1.04907996717908E-0001	
 5.12500000000000E+0002	 1.05522907224839E-0001	
 5.14500000000000E+0002	 1.06166817731771E-0001	
 5.16500000000000E+0002	 1.06781728238702E-0001	
 5.18500000000000E+0002	 1.07322638745634E-0001	
 5.20500000000000E+0002	 1.07928049252565E-0001	
 5.22500000000000E+0002	 1.08504459759497E-0001	
 5.24500000000000E+0002	 1.08959370266428E-0001	
 5.26500000000000E+0002	 1.09345780773360E-0001	
 5.28500000000000E+0002	 1.09754691280291E-0001	
 5.30500000000000E+0002	 1.10028101787223E-0001	
 5.32500000000000E+0002	 1.10374512294154E-0001	
 5.34500000000000E+0002	 1.10672422801086E-0001	
 5.36500000000000E+0002	 1.10836833308017E-0001	
 5.38500000000000E+0002	 1.10852243814949E-0001	
 5.40500000000000E+0002	 1.10852154321880E-0001	
 5.42500000000000E+0002	 1.10878064828812E-0001	
 5.44500000000000E+0002	 1.10959975335743E-0001	
 5.46500000000000E+0002	 1.10867385842675E-0001	
 5.48500000000000E+0002	 1.10831296349606E-0001	
 5.50500000000000E+0002	 1.10845706856538E-0001	
 5.52500000000000E+0002	 1.10955117363469E-0001	
 5.54500000000000E+0002	 1.11098027870401E-0001	
 5.56500000000000E+0002	 1.11212438377332E-0001	
 5.58500000000000E+0002	 1.11290348884264E-0001	
 5.60500000000000E+0002	 1.11410759391195E-0001	
 5.62500000000000E+0002	 1.11458169898127E-0001	
 5.64500000000000E+0002	 1.11414580405058E-0001	
 5.66500000000000E+0002	 1.11291490911990E-0001	
 5.68500000000000E+0002	 1.11198901418921E-0001	
 5.70500000000000E+0002	 1.11222811925853E-0001	
 5.72500000000000E+0002	 1.11248722432784E-0001	
 5.74500000000000E+0002	 1.11287632939716E-0001	
 5.76500000000000E+0002	 1.11333543446647E-0001	
 5.78500000000000E+0002	 1.11333453953579E-0001	
 5.80500000000000E+0002	 1.11123364460510E-0001	
 5.82500000000000E+0002	 1.10889774967442E-0001	
 5.84500000000000E+0002	 1.10661185474373E-0001	
 5.86500000000000E+0002	 1.10517095981305E-0001	
 5.88500000000000E+0002	 1.10392006488237E-0001	
 5.90500000000000E+0002	 1.10382916995168E-0001	
 5.92500000000000E+0002	 1.10435327502100E-0001	
 5.94500000000000E+0002	 1.10599238009031E-0001	
 5.96500000000000E+0002	 1.10752648515963E-0001	
 5.98500000000000E+0002	 1.10941059022894E-0001	
 6.00500000000000E+0002	 1.11087969529826E-0001	
 6.02500000000000E+0002	 1.11268880036757E-0001	
