*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:31


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.36893806405229E-0001	
 4.52500000000000E+0002	 1.37823090849673E-0001	
 4.54500000000000E+0002	 1.39197375294118E-0001	
 4.56500000000000E+0002	 1.40375159738562E-0001	
 4.58500000000000E+0002	 1.41440944183007E-0001	
 4.60500000000000E+0002	 1.42932228627451E-0001	
 4.62500000000000E+0002	 1.44514513071895E-0001	
 4.64500000000000E+0002	 1.46451297516340E-0001	
 4.66500000000000E+0002	 1.47496581960784E-0001	
 4.68500000000000E+0002	 1.48288866405229E-0001	
 4.70500000000000E+0002	 1.49833150849673E-0001	
 4.72500000000000E+0002	 1.51523935294118E-0001	
 4.74500000000000E+0002	 1.53047219738562E-0001	
 4.76500000000000E+0002	 1.54554504183007E-0001	
 4.78500000000000E+0002	 1.56330788627451E-0001	
 4.80500000000000E+0002	 1.57983573071895E-0001	
 4.82500000000000E+0002	 1.59592857516340E-0001	
 4.84500000000000E+0002	 1.61198141960784E-0001	
 4.86500000000000E+0002	 1.62747926405229E-0001	
 4.88500000000000E+0002	 1.64712210849673E-0001	
 4.90500000000000E+0002	 1.66552995294118E-0001	
 4.92500000000000E+0002	 1.68375279738562E-0001	
 4.94500000000000E+0002	 1.70503064183007E-0001	
 4.96500000000000E+0002	 1.72699848627451E-0001	
 4.98500000000000E+0002	 1.74771633071895E-0001	
 5.00500000000000E+0002	 1.76249917516340E-0001	
 5.02500000000000E+0002	 1.77788201960784E-0001	
 5.04500000000000E+0002	 1.80024486405229E-0001	
 5.06500000000000E+0002	 1.82139270849673E-0001	
 5.08500000000000E+0002	 1.83822055294118E-0001	
 5.10500000000000E+0002	 1.85468339738562E-0001	
 5.12500000000000E+0002	 1.87361124183007E-0001	
 5.14500000000000E+0002	 1.89231908627451E-0001	
 5.16500000000000E+0002	 1.90941693071895E-0001	
 5.18500000000000E+0002	 1.92980977516340E-0001	
 5.20500000000000E+0002	 1.95452761960784E-0001	
 5.22500000000000E+0002	 1.98066546405229E-0001	
 5.24500000000000E+0002	 2.00823330849673E-0001	
 5.26500000000000E+0002	 2.04966615294118E-0001	
 5.28500000000000E+0002	 2.10200899738562E-0001	
 5.30500000000000E+0002	 2.13661684183007E-0001	
 5.32500000000000E+0002	 2.13448968627451E-0001	
 5.34500000000000E+0002	 2.11143753071895E-0001	
 5.36500000000000E+0002	 2.08508537516340E-0001	
 5.38500000000000E+0002	 2.06115321960784E-0001	
 5.40500000000000E+0002	 2.04001106405229E-0001	
 5.42500000000000E+0002	 2.02133390849673E-0001	
 5.44500000000000E+0002	 2.00411175294118E-0001	
 5.46500000000000E+0002	 1.99003959738562E-0001	
 5.48500000000000E+0002	 1.97918244183007E-0001	
 5.50500000000000E+0002	 1.97161528627451E-0001	
 5.52500000000000E+0002	 1.96687813071895E-0001	
 5.54500000000000E+0002	 1.96366597516340E-0001	
 5.56500000000000E+0002	 1.96155381960784E-0001	
 5.58500000000000E+0002	 1.96117166405229E-0001	
 5.60500000000000E+0002	 1.95966450849673E-0001	
 5.62500000000000E+0002	 1.95683735294118E-0001	
 5.64500000000000E+0002	 1.95413519738562E-0001	
 5.66500000000000E+0002	 1.95226304183007E-0001	
 5.68500000000000E+0002	 1.95016088627451E-0001	
 5.70500000000000E+0002	 1.94843873071895E-0001	
 5.72500000000000E+0002	 1.94744157516340E-0001	
 5.74500000000000E+0002	 1.94581441960784E-0001	
 5.76500000000000E+0002	 1.94304226405229E-0001	
 5.78500000000000E+0002	 1.93937510849673E-0001	
 5.80500000000000E+0002	 1.93113295294118E-0001	
 5.82500000000000E+0002	 1.92213579738562E-0001	
 5.84500000000000E+0002	 1.91390364183007E-0001	
 5.86500000000000E+0002	 1.90889148627451E-0001	
 5.88500000000000E+0002	 1.90758433071895E-0001	
 5.90500000000000E+0002	 1.90754217516340E-0001	
 5.92500000000000E+0002	 1.91000001960784E-0001	
 5.94500000000000E+0002	 1.91618786405229E-0001	
 5.96500000000000E+0002	 1.92198570849673E-0001	
 5.98500000000000E+0002	 1.92551355294118E-0001	
 6.00500000000000E+0002	 1.92836639738562E-0001	
 6.02500000000000E+0002	 1.93335424183007E-0001	
 6.04500000000000E+0002	 1.93830208627451E-0001	
 6.06500000000000E+0002	 1.94364993071895E-0001	
 6.08500000000000E+0002	 1.94864777516340E-0001	
 6.10500000000000E+0002	 1.95283061960784E-0001	
 6.12500000000000E+0002	 1.95580346405229E-0001	
 6.14500000000000E+0002	 1.95676630849673E-0001	
 6.16500000000000E+0002	 1.95503415294118E-0001	
 6.18500000000000E+0002	 1.95023199738562E-0001	
 6.20500000000000E+0002	 1.94201984183007E-0001	
 6.22500000000000E+0002	 1.93409268627451E-0001	
 6.24500000000000E+0002	 1.92628053071895E-0001	
 6.26500000000000E+0002	 1.91961337516340E-0001	
 6.28500000000000E+0002	 1.91451121960784E-0001	
 6.30500000000000E+0002	 1.90973906405229E-0001	
 6.32500000000000E+0002	 1.90406690849673E-0001	
 6.34500000000000E+0002	 1.89866975294118E-0001	
 6.36500000000000E+0002	 1.89542759738562E-0001	
 6.38500000000000E+0002	 1.89371044183007E-0001	
 6.40500000000000E+0002	 1.89075828627451E-0001	
 6.42500000000000E+0002	 1.88771613071895E-0001	
 6.44500000000000E+0002	 1.88305897516340E-0001	
 6.46500000000000E+0002	 1.87744181960784E-0001	
 6.48500000000000E+0002	 1.87204466405229E-0001	
 6.50500000000000E+0002	 1.86697250849673E-0001	
 6.52500000000000E+0002	 1.86234535294118E-0001	
 6.54500000000000E+0002	 1.85966319738562E-0001	
 6.56500000000000E+0002	 1.85867104183007E-0001	
 6.58500000000000E+0002	 1.85860388627451E-0001	
 6.60500000000000E+0002	 1.85893673071895E-0001	
 6.62500000000000E+0002	 1.85844957516340E-0001	
 6.64500000000000E+0002	 1.85420741960784E-0001	
 6.66500000000000E+0002	 1.84255026405229E-0001	
 6.68500000000000E+0002	 1.83973310849673E-0001	
 6.70500000000000E+0002	 1.84206595294118E-0001	
 6.72500000000000E+0002	 1.83471379738562E-0001	
 6.74500000000000E+0002	 1.82575164183007E-0001	
 6.76500000000000E+0002	 1.81625948627451E-0001	
 6.78500000000000E+0002	 1.80720233071895E-0001	
 6.80500000000000E+0002	 1.79934517516340E-0001	
 6.82500000000000E+0002	 1.79298301960784E-0001	
 6.84500000000000E+0002	 1.78780586405229E-0001	
 6.86500000000000E+0002	 1.78326370849673E-0001	
 6.88500000000000E+0002	 1.77954155294118E-0001	
 6.90500000000000E+0002	 1.77799439738562E-0001	
 6.92500000000000E+0002	 1.77822224183007E-0001	
 6.94500000000000E+0002	 1.77947008627451E-0001	
 6.96500000000000E+0002	 1.78188793071895E-0001	
 6.98500000000000E+0002	 1.78441577516340E-0001	
 7.00500000000000E+0002	 1.78511861960784E-0001	
 7.02500000000000E+0002	 1.78149646405229E-0001	
 7.04500000000000E+0002	 1.77382430849673E-0001	
 7.06500000000000E+0002	 1.76363715294118E-0001	
 7.08500000000000E+0002	 1.75178999738562E-0001	
 7.10500000000000E+0002	 1.73857784183007E-0001	
 7.12500000000000E+0002	 1.72503568627451E-0001	
 7.14500000000000E+0002	 1.71134853071895E-0001	
 7.16500000000000E+0002	 1.69879637516340E-0001	
 7.18500000000000E+0002	 1.68791421960784E-0001	
 7.20500000000000E+0002	 1.67776706405229E-0001	
 7.22500000000000E+0002	 1.66527490849673E-0001	
 7.24500000000000E+0002	 1.65073275294118E-0001	
 7.26500000000000E+0002	 1.63428059738562E-0001	
 7.28500000000000E+0002	 1.61721344183007E-0001	
 7.30500000000000E+0002	 1.60068128627451E-0001	
 7.32500000000000E+0002	 1.58626913071895E-0001	
 7.34500000000000E+0002	 1.57357197516340E-0001	
 7.36500000000000E+0002	 1.56306981960784E-0001	
 7.38500000000000E+0002	 1.55409266405229E-0001	
 7.40500000000000E+0002	 1.54679550849673E-0001	
 7.42500000000000E+0002	 1.54059335294118E-0001	
 7.44500000000000E+0002	 1.53560119738562E-0001	
 7.46500000000000E+0002	 1.53119404183007E-0001	
 7.48500000000000E+0002	 1.52714688627451E-0001	
 7.50500000000000E+0002	 1.52174973071895E-0001	
 7.52500000000000E+0002	 1.51506257516340E-0001	
 7.54500000000000E+0002	 1.50676541960784E-0001	
 7.56500000000000E+0002	 1.49784826405229E-0001	
 7.58500000000000E+0002	 1.48788610849673E-0001	
 7.60500000000000E+0002	 1.47872395294118E-0001	
 7.62500000000000E+0002	 1.47096679738562E-0001	
 7.64500000000000E+0002	 1.46441464183007E-0001	
 7.66500000000000E+0002	 1.45583748627451E-0001	
 7.68500000000000E+0002	 1.44489533071895E-0001	
 7.70500000000000E+0002	 1.43338817516340E-0001	
 7.72500000000000E+0002	 1.42496101960784E-0001	
 7.74500000000000E+0002	 1.42143386405229E-0001	
 7.76500000000000E+0002	 1.42571170849673E-0001	
 7.78500000000000E+0002	 1.43409955294118E-0001	
 7.80500000000000E+0002	 1.43671239738562E-0001	
 7.82500000000000E+0002	 1.42886524183007E-0001	
 7.84500000000000E+0002	 1.41812308627451E-0001	
 7.86500000000000E+0002	 1.40894093071895E-0001	
 7.88500000000000E+0002	 1.40190877516340E-0001	
 7.90500000000000E+0002	 1.39697661960784E-0001	
 7.92500000000000E+0002	 1.39755446405229E-0001	
 7.94500000000000E+0002	 1.40374730849673E-0001	
 7.96500000000000E+0002	 1.41227515294118E-0001	
 7.98500000000000E+0002	 1.41915299738562E-0001	
 8.00500000000000E+0002	 1.42489084183007E-0001	
 8.02500000000000E+0002	 1.42890368627451E-0001	
 8.04500000000000E+0002	 1.42982153071895E-0001	
 8.06500000000000E+0002	 1.42507937516340E-0001	
 8.08500000000000E+0002	 1.41584221960784E-0001	
 8.10500000000000E+0002	 1.40440006405229E-0001	
 8.12500000000000E+0002	 1.39412790849673E-0001	
 8.14500000000000E+0002	 1.38541075294118E-0001	
 8.16500000000000E+0002	 1.37863359738562E-0001	
 8.18500000000000E+0002	 1.37359644183007E-0001	
 8.20500000000000E+0002	 1.37100928627451E-0001	
 8.22500000000000E+0002	 1.36948213071895E-0001	
 8.24500000000000E+0002	 1.36908497516340E-0001	
 8.26500000000000E+0002	 1.36929281960784E-0001	
 8.28500000000000E+0002	 1.37000566405229E-0001	
 8.30500000000000E+0002	 1.37095350849673E-0001	
 8.32500000000000E+0002	 1.37297135294118E-0001	
 8.34500000000000E+0002	 1.37562419738562E-0001	
 8.36500000000000E+0002	 1.37853704183007E-0001	
 8.38500000000000E+0002	 1.38101988627451E-0001	
 8.40500000000000E+0002	 1.38373773071895E-0001	
 8.42500000000000E+0002	 1.38678057516340E-0001	
 8.44500000000000E+0002	 1.39102341960784E-0001	
 8.46500000000000E+0002	 1.39690626405229E-0001	
 8.48500000000000E+0002	 1.40475410849673E-0001	
 8.50500000000000E+0002	 1.41445695294118E-0001	
 8.52500000000000E+0002	 1.42568979738562E-0001	
 8.54500000000000E+0002	 1.43741264183007E-0001	
 8.56500000000000E+0002	 1.44842548627451E-0001	
 8.58500000000000E+0002	 1.45730333071895E-0001	
 8.60500000000000E+0002	 1.46291617516340E-0001	
 8.62500000000000E+0002	 1.46448401960784E-0001	
 8.64500000000000E+0002	 1.46193186405229E-0001	
 8.66500000000000E+0002	 1.45608470849673E-0001	
 8.68500000000000E+0002	 1.44921755294118E-0001	
 8.70500000000000E+0002	 1.44434039738562E-0001	
 8.72500000000000E+0002	 1.43942824183007E-0001	
 8.74500000000000E+0002	 1.42963608627451E-0001	
 8.76500000000000E+0002	 1.41723393071895E-0001	
 8.78500000000000E+0002	 1.40630677516340E-0001	
 8.80500000000000E+0002	 1.39686961960784E-0001	
 8.82500000000000E+0002	 1.38843746405229E-0001	
 8.84500000000000E+0002	 1.38070530849673E-0001	
 8.86500000000000E+0002	 1.37408815294118E-0001	
 8.88500000000000E+0002	 1.36949599738562E-0001	
 8.90500000000000E+0002	 1.36810884183007E-0001	
 8.92500000000000E+0002	 1.36958668627451E-0001	
 8.94500000000000E+0002	 1.37304453071895E-0001	
 8.96500000000000E+0002	 1.37698737516340E-0001	
 8.98500000000000E+0002	 1.38068521960784E-0001	
 9.00500000000000E+0002	 1.38407306405229E-0001	
 9.02500000000000E+0002	 1.38865090849673E-0001	
 9.04500000000000E+0002	 1.39570375294118E-0001	
 9.06500000000000E+0002	 1.40590159738562E-0001	
 9.08500000000000E+0002	 1.41820444183007E-0001	
 9.10500000000000E+0002	 1.43106728627451E-0001	
 9.12500000000000E+0002	 1.44200013071895E-0001	
 9.14500000000000E+0002	 1.44938297516340E-0001	
 9.16500000000000E+0002	 1.45256581960784E-0001	
 9.18500000000000E+0002	 1.45261866405229E-0001	
 9.20500000000000E+0002	 1.45115150849673E-0001	
 9.22500000000000E+0002	 1.45133935294118E-0001	
 9.24500000000000E+0002	 1.45537719738562E-0001	
 9.26500000000000E+0002	 1.46429004183007E-0001	
 9.28500000000000E+0002	 1.47755288627451E-0001	
 9.30500000000000E+0002	 1.49377073071895E-0001	
 9.32500000000000E+0002	 1.51079357516340E-0001	
 9.34500000000000E+0002	 1.52721141960784E-0001	
 9.36500000000000E+0002	 1.54207926405229E-0001	
 9.38500000000000E+0002	 1.55562710849673E-0001	
 9.40500000000000E+0002	 1.56795495294118E-0001	
 9.42500000000000E+0002	 1.57881779738562E-0001	
 9.44500000000000E+0002	 1.58745564183007E-0001	
 9.46500000000000E+0002	 1.59353348627451E-0001	
 9.48500000000000E+0002	 1.59735633071895E-0001	
 9.50500000000000E+0002	 1.60050917516340E-0001	
 9.52500000000000E+0002	 1.60585701960784E-0001	
 9.54500000000000E+0002	 1.61588986405229E-0001	
 9.56500000000000E+0002	 1.63185770849673E-0001	
 9.58500000000000E+0002	 1.65341555294118E-0001	
 9.60500000000000E+0002	 1.67941339738562E-0001	
 9.62500000000000E+0002	 1.70795124183007E-0001	
 9.64500000000000E+0002	 1.73745908627451E-0001	
 9.66500000000000E+0002	 1.76672693071895E-0001	
 9.68500000000000E+0002	 1.79607477516340E-0001	
 9.70500000000000E+0002	 1.82707761960784E-0001	
 9.72500000000000E+0002	 1.86356046405229E-0001	
 9.74500000000000E+0002	 1.90939330849673E-0001	
 9.76500000000000E+0002	 1.96865115294118E-0001	
 9.78500000000000E+0002	 2.04324899738562E-0001	
 9.80500000000000E+0002	 2.13258684183007E-0001	
 9.82500000000000E+0002	 2.23060468627451E-0001	
 9.84500000000000E+0002	 2.32874753071895E-0001	
 9.86500000000000E+0002	 2.41719037516340E-0001	
 9.88500000000000E+0002	 2.48899321960784E-0001	
 9.90500000000000E+0002	 2.53932606405229E-0001	
 9.92500000000000E+0002	 2.56715390849673E-0001	
 9.94500000000000E+0002	 2.57377175294118E-0001	
 9.96500000000000E+0002	 2.56558959738562E-0001	
 9.98500000000000E+0002	 2.55088244183007E-0001	
 1.00050000000000E+0003	 2.54007028627451E-0001	
 1.00250000000000E+0003	 2.54126313071895E-0001	
 1.00450000000000E+0003	 2.56048097516340E-0001	
 1.00650000000000E+0003	 2.59784381960784E-0001	
 1.00850000000000E+0003	 2.65010166405229E-0001	
 1.01050000000000E+0003	 2.70952950849673E-0001	
 1.01250000000000E+0003	 2.76993235294118E-0001	
 1.01450000000000E+0003	 2.82636519738562E-0001	
 1.01650000000000E+0003	 2.87878804183007E-0001	
 1.01850000000000E+0003	 2.92876088627451E-0001	
 1.02050000000000E+0003	 2.98094373071895E-0001	
 1.02250000000000E+0003	 3.03789157516340E-0001	
 1.02450000000000E+0003	 3.10033941960784E-0001	
 1.02650000000000E+0003	 3.16395226405229E-0001	
 1.02850000000000E+0003	 3.22332010849673E-0001	
 1.03050000000000E+0003	 3.27191295294118E-0001	
 1.03250000000000E+0003	 3.30749579738562E-0001	
 1.03450000000000E+0003	 3.33037864183007E-0001	
 1.03650000000000E+0003	 3.34517648627451E-0001	
 1.03850000000000E+0003	 3.35582933071895E-0001	
 1.04050000000000E+0003	 3.36778717516340E-0001	
 1.04250000000000E+0003	 3.38456501960784E-0001	
 1.04450000000000E+0003	 3.40840286405229E-0001	
 1.04650000000000E+0003	 3.43670570849673E-0001	
 1.04850000000000E+0003	 3.46543355294118E-0001	
 1.05050000000000E+0003	 3.48834639738562E-0001	
 1.05250000000000E+0003	 3.50307924183007E-0001	
 1.05450000000000E+0003	 3.50970708627451E-0001	
 1.05650000000000E+0003	 3.51173493071895E-0001	
 1.05850000000000E+0003	 3.51026777516340E-0001	
 1.06050000000000E+0003	 3.50541061960784E-0001	
 1.06250000000000E+0003	 3.49656846405229E-0001	
 1.06450000000000E+0003	 3.48677630849673E-0001	
 1.06650000000000E+0003	 3.47968415294118E-0001	
 1.06850000000000E+0003	 3.47916699738562E-0001	
 1.07050000000000E+0003	 3.48550484183007E-0001	
 1.07250000000000E+0003	 3.49709768627451E-0001	
 1.07450000000000E+0003	 3.50921553071895E-0001	
 1.07650000000000E+0003	 3.51743337516340E-0001	
 1.07850000000000E+0003	 3.51728121960784E-0001	
 1.08050000000000E+0003	 3.50660906405229E-0001	
 1.08250000000000E+0003	 3.48537690849673E-0001	
 1.08450000000000E+0003	 3.45615475294118E-0001	
 1.08650000000000E+0003	 3.42160259738562E-0001	
 1.08850000000000E+0003	 3.38469544183007E-0001	
 1.09050000000000E+0003	 3.34645328627451E-0001	
 1.09250000000000E+0003	 3.30798613071895E-0001	
 1.09450000000000E+0003	 3.27037897516340E-0001	
 1.09650000000000E+0003	 3.23608181960784E-0001	
 1.09850000000000E+0003	 3.20728966405229E-0001	
 1.10050000000000E+0003	 3.18463750849673E-0001	
 1.10250000000000E+0003	 3.16602035294118E-0001	
 1.10450000000000E+0003	 3.14913819738562E-0001	
 1.10650000000000E+0003	 3.13223104183007E-0001	
 1.10850000000000E+0003	 3.11518388627451E-0001	
 1.11050000000000E+0003	 3.09813173071895E-0001	
 1.11250000000000E+0003	 3.07962957516340E-0001	
