*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:34


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.21684272812398E-0001	
 4.52500000000000E+0002	 1.22129470140784E-0001	
 4.54500000000000E+0002	 1.22517667469169E-0001	
 4.56500000000000E+0002	 1.22520864797555E-0001	
 4.58500000000000E+0002	 1.22828062125941E-0001	
 4.60500000000000E+0002	 1.23896759454327E-0001	
 4.62500000000000E+0002	 1.24704956782713E-0001	
 4.64500000000000E+0002	 1.25435154111099E-0001	
 4.66500000000000E+0002	 1.25883851439485E-0001	
 4.68500000000000E+0002	 1.26302048767871E-0001	
 4.70500000000000E+0002	 1.26723746096257E-0001	
 4.72500000000000E+0002	 1.27073443424643E-0001	
 4.74500000000000E+0002	 1.27750140753028E-0001	
 4.76500000000000E+0002	 1.28527338081414E-0001	
 4.78500000000000E+0002	 1.29229535409800E-0001	
 4.80500000000000E+0002	 1.29930232738186E-0001	
 4.82500000000000E+0002	 1.30512430066572E-0001	
 4.84500000000000E+0002	 1.31133127394958E-0001	
 4.86500000000000E+0002	 1.31863824723344E-0001	
 4.88500000000000E+0002	 1.32750022051730E-0001	
 4.90500000000000E+0002	 1.33474219380116E-0001	
 4.92500000000000E+0002	 1.34270416708502E-0001	
 4.94500000000000E+0002	 1.35160614036887E-0001	
 4.96500000000000E+0002	 1.36002311365273E-0001	
 4.98500000000000E+0002	 1.36724008693659E-0001	
 5.00500000000000E+0002	 1.37218206022045E-0001	
 5.02500000000000E+0002	 1.37721903350431E-0001	
 5.04500000000000E+0002	 1.38696600678817E-0001	
 5.06500000000000E+0002	 1.39510798007203E-0001	
 5.08500000000000E+0002	 1.40250995335589E-0001	
 5.10500000000000E+0002	 1.41043192663975E-0001	
 5.12500000000000E+0002	 1.41941389992361E-0001	
 5.14500000000000E+0002	 1.42662587320746E-0001	
 5.16500000000000E+0002	 1.43127284649132E-0001	
 5.18500000000000E+0002	 1.43745981977518E-0001	
 5.20500000000000E+0002	 1.44610679305904E-0001	
 5.22500000000000E+0002	 1.45264376634290E-0001	
 5.24500000000000E+0002	 1.45424573962676E-0001	
 5.26500000000000E+0002	 1.45731271291062E-0001	
 5.28500000000000E+0002	 1.46469968619448E-0001	
 5.30500000000000E+0002	 1.46936665947834E-0001	
 5.32500000000000E+0002	 1.47162363276220E-0001	
 5.34500000000000E+0002	 1.47306060604605E-0001	
 5.36500000000000E+0002	 1.47361757932991E-0001	
 5.38500000000000E+0002	 1.47369955261377E-0001	
 5.40500000000000E+0002	 1.47242152589763E-0001	
 5.42500000000000E+0002	 1.46998849918149E-0001	
 5.44500000000000E+0002	 1.46666047246535E-0001	
 5.46500000000000E+0002	 1.46342744574921E-0001	
 5.48500000000000E+0002	 1.46056941903307E-0001	
 5.50500000000000E+0002	 1.45866139231693E-0001	
 5.52500000000000E+0002	 1.45732836560079E-0001	
 5.54500000000000E+0002	 1.45546533888464E-0001	
 5.56500000000000E+0002	 1.45384231216850E-0001	
 5.58500000000000E+0002	 1.45297428545236E-0001	
 5.60500000000000E+0002	 1.45107625873622E-0001	
 5.62500000000000E+0002	 1.44767823202008E-0001	
 5.64500000000000E+0002	 1.44378020530394E-0001	
 5.66500000000000E+0002	 1.44023217858780E-0001	
 5.68500000000000E+0002	 1.43674415187166E-0001	
 5.70500000000000E+0002	 1.43431112515552E-0001	
 5.72500000000000E+0002	 1.43219309843938E-0001	
 5.74500000000000E+0002	 1.42907007172323E-0001	
 5.76500000000000E+0002	 1.42577704500709E-0001	
 5.78500000000000E+0002	 1.42386401829095E-0001	
 5.80500000000000E+0002	 1.42045599157481E-0001	
 5.82500000000000E+0002	 1.41538296485867E-0001	
 5.84500000000000E+0002	 1.41047493814253E-0001	
 5.86500000000000E+0002	 1.40713691142639E-0001	
 5.88500000000000E+0002	 1.40432388471025E-0001	
 5.90500000000000E+0002	 1.40138585799411E-0001	
 5.92500000000000E+0002	 1.40016283127797E-0001	
 5.94500000000000E+0002	 1.40117480456182E-0001	
 5.96500000000000E+0002	 1.40240177784568E-0001	
 5.98500000000000E+0002	 1.40240375112954E-0001	
 6.00500000000000E+0002	 1.40193572441340E-0001	
 6.02500000000000E+0002	 1.40215769769726E-0001	
 6.04500000000000E+0002	 1.40240467098112E-0001	
 6.06500000000000E+0002	 1.40314664426498E-0001	
 6.08500000000000E+0002	 1.40400361754884E-0001	
 6.10500000000000E+0002	 1.40523559083270E-0001	
 6.12500000000000E+0002	 1.40647256411656E-0001	
 6.14500000000000E+0002	 1.40685953740041E-0001	
 6.16500000000000E+0002	 1.40658151068427E-0001	
 6.18500000000000E+0002	 1.40581848396813E-0001	
 6.20500000000000E+0002	 1.40389045725199E-0001	
 6.22500000000000E+0002	 1.40083243053585E-0001	
 6.24500000000000E+0002	 1.39720940381971E-0001	
 6.26500000000000E+0002	 1.39386137710357E-0001	
 6.28500000000000E+0002	 1.39069835038743E-0001	
 6.30500000000000E+0002	 1.38704032367129E-0001	
 6.32500000000000E+0002	 1.38283229695515E-0001	
