*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:26


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.92752249555922E-0001	
 4.52500000000000E+0002	 1.93810364052288E-0001	
 4.54500000000000E+0002	 1.94746978548653E-0001	
 4.56500000000000E+0002	 1.95947593045019E-0001	
 4.58500000000000E+0002	 1.96967207541384E-0001	
 4.60500000000000E+0002	 1.98408822037750E-0001	
 4.62500000000000E+0002	 1.99629436534115E-0001	
 4.64500000000000E+0002	 2.00950551030481E-0001	
 4.66500000000000E+0002	 2.01976665526846E-0001	
 4.68500000000000E+0002	 2.03153780023212E-0001	
 4.70500000000000E+0002	 2.03911394519577E-0001	
 4.72500000000000E+0002	 2.04714009015943E-0001	
 4.74500000000000E+0002	 2.05983623512308E-0001	
 4.76500000000000E+0002	 2.07595738008674E-0001	
 4.78500000000000E+0002	 2.08880852505039E-0001	
 4.80500000000000E+0002	 2.10222467001405E-0001	
 4.82500000000000E+0002	 2.11196581497770E-0001	
 4.84500000000000E+0002	 2.12501695994136E-0001	
 4.86500000000000E+0002	 2.14136310490501E-0001	
 4.88500000000000E+0002	 2.15752924986867E-0001	
 4.90500000000000E+0002	 2.17123039483233E-0001	
 4.92500000000000E+0002	 2.18724153979598E-0001	
 4.94500000000000E+0002	 2.20399268475964E-0001	
 4.96500000000000E+0002	 2.22157382972329E-0001	
 4.98500000000000E+0002	 2.23771997468695E-0001	
 5.00500000000000E+0002	 2.25530111965060E-0001	
 5.02500000000000E+0002	 2.27088226461426E-0001	
 5.04500000000000E+0002	 2.28384840957791E-0001	
 5.06500000000000E+0002	 2.29460955454157E-0001	
 5.08500000000000E+0002	 2.30872569950522E-0001	
 5.10500000000000E+0002	 2.32290184446888E-0001	
 5.12500000000000E+0002	 2.33742798943253E-0001	
 5.14500000000000E+0002	 2.35178913439619E-0001	
 5.16500000000000E+0002	 2.36636527935984E-0001	
 5.18500000000000E+0002	 2.38147142432350E-0001	
 5.20500000000000E+0002	 2.39936256928715E-0001	
 5.22500000000000E+0002	 2.41633871425081E-0001	
 5.24500000000000E+0002	 2.43551485921446E-0001	
 5.26500000000000E+0002	 2.45879100417812E-0001	
 5.28500000000000E+0002	 2.48606214914178E-0001	
 5.30500000000000E+0002	 2.50513829410543E-0001	
 5.32500000000000E+0002	 2.50651443906909E-0001	
 5.34500000000000E+0002	 2.49461558403274E-0001	
 5.36500000000000E+0002	 2.48101172899640E-0001	
 5.38500000000000E+0002	 2.46858787396005E-0001	
 5.40500000000000E+0002	 2.45631901892371E-0001	
 5.42500000000000E+0002	 2.44344016388736E-0001	
 5.44500000000000E+0002	 2.43142130885102E-0001	
 5.46500000000000E+0002	 2.42093745381467E-0001	
 5.48500000000000E+0002	 2.41405859877833E-0001	
 5.50500000000000E+0002	 2.40835474374198E-0001	
 5.52500000000000E+0002	 2.40384088870564E-0001	
