*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:24


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.95099811086328E-0001	
 4.52500000000000E+0002	 1.95428332383313E-0001	
 4.54500000000000E+0002	 1.96296853680297E-0001	
 4.56500000000000E+0002	 1.96667374977282E-0001	
 4.58500000000000E+0002	 1.97569896274267E-0001	
 4.60500000000000E+0002	 1.99772417571252E-0001	
 4.62500000000000E+0002	 2.01451438868236E-0001	
 4.64500000000000E+0002	 2.02862960165221E-0001	
 4.66500000000000E+0002	 2.03984981462206E-0001	
 4.68500000000000E+0002	 2.05038002759190E-0001	
 4.70500000000000E+0002	 2.05733524056175E-0001	
 4.72500000000000E+0002	 2.06235045353160E-0001	
 4.74500000000000E+0002	 2.07978066650145E-0001	
 4.76500000000000E+0002	 2.09954587947129E-0001	
 4.78500000000000E+0002	 2.11496109244114E-0001	
 4.80500000000000E+0002	 2.12787130541099E-0001	
 4.82500000000000E+0002	 2.13776151838083E-0001	
 4.84500000000000E+0002	 2.15010173135068E-0001	
 4.86500000000000E+0002	 2.16819194432053E-0001	
 4.88500000000000E+0002	 2.18593215729038E-0001	
 4.90500000000000E+0002	 2.20089737026022E-0001	
 4.92500000000000E+0002	 2.21570258323007E-0001	
 4.94500000000000E+0002	 2.23447279619992E-0001	
 4.96500000000000E+0002	 2.25307800916976E-0001	
 4.98500000000000E+0002	 2.26976322213961E-0001	
 5.00500000000000E+0002	 2.28274843510946E-0001	
 5.02500000000000E+0002	 2.29596364807931E-0001	
 5.04500000000000E+0002	 2.31084886104915E-0001	
 5.06500000000000E+0002	 2.32324907401900E-0001	
 5.08500000000000E+0002	 2.33767428698885E-0001	
 5.10500000000000E+0002	 2.35368449995869E-0001	
 5.12500000000000E+0002	 2.36904971292854E-0001	
 5.14500000000000E+0002	 2.38393992589839E-0001	
 5.16500000000000E+0002	 2.39675513886824E-0001	
 5.18500000000000E+0002	 2.41264535183808E-0001	
 5.20500000000000E+0002	 2.43234556480793E-0001	
 5.22500000000000E+0002	 2.45077577777778E-0001	
 5.24500000000000E+0002	 2.46600099074762E-0001	
