*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:22


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.35313790499793E-0001	
 4.52500000000000E+0002	 1.37413950640231E-0001	
 4.54500000000000E+0002	 1.40334110780669E-0001	
 4.56500000000000E+0002	 1.40903270921107E-0001	
 4.58500000000000E+0002	 1.43748431061545E-0001	
 4.60500000000000E+0002	 1.50398591201983E-0001	
 4.62500000000000E+0002	 1.55443751342420E-0001	
 4.64500000000000E+0002	 1.59948911482858E-0001	
 4.66500000000000E+0002	 1.62245071623296E-0001	
 4.68500000000000E+0002	 1.64841231763734E-0001	
 4.70500000000000E+0002	 1.66960891904172E-0001	
 4.72500000000000E+0002	 1.69860552044610E-0001	
 4.74500000000000E+0002	 1.75041212185048E-0001	
 4.76500000000000E+0002	 1.79782872325485E-0001	
 4.78500000000000E+0002	 1.83604032465923E-0001	
 4.80500000000000E+0002	 1.87489192606361E-0001	
 4.82500000000000E+0002	 1.90409352746799E-0001	
 4.84500000000000E+0002	 1.93798512887237E-0001	
 4.86500000000000E+0002	 1.97920173027675E-0001	
 4.88500000000000E+0002	 2.02618333168112E-0001	
 4.90500000000000E+0002	 2.06001493308550E-0001	
 4.92500000000000E+0002	 2.10145153448988E-0001	
 4.94500000000000E+0002	 2.15042313589426E-0001	
 4.96500000000000E+0002	 2.19768973729864E-0001	
 4.98500000000000E+0002	 2.23239633870302E-0001	
 5.00500000000000E+0002	 2.25381794010739E-0001	
 5.02500000000000E+0002	 2.28107954151177E-0001	
 5.04500000000000E+0002	 2.33081114291615E-0001	
 5.06500000000000E+0002	 2.36432274432053E-0001	
 5.08500000000000E+0002	 2.39688934572491E-0001	
 5.10500000000000E+0002	 2.42869094712929E-0001	
 5.12500000000000E+0002	 2.46244254853366E-0001	
 5.14500000000000E+0002	 2.48416914993804E-0001	
 5.16500000000000E+0002	 2.50148075134242E-0001	
 5.18500000000000E+0002	 2.52871735274680E-0001	
 5.20500000000000E+0002	 2.56805395415118E-0001	
 5.22500000000000E+0002	 2.59594555555556E-0001	
 5.24500000000000E+0002	 2.60593715695993E-0001	
 5.26500000000000E+0002	 2.62231875836431E-0001	
 5.28500000000000E+0002	 2.65345535976869E-0001	
 5.30500000000000E+0002	 2.67093696117307E-0001	
 5.32500000000000E+0002	 2.67920356257745E-0001	
 5.34500000000000E+0002	 2.68033016398183E-0001	
 5.36500000000000E+0002	 2.67818676538620E-0001	
 5.38500000000000E+0002	 2.66966836679058E-0001	
 5.40500000000000E+0002	 2.65595996819496E-0001	
 5.42500000000000E+0002	 2.63610656959934E-0001	
 5.44500000000000E+0002	 2.61239817100372E-0001	
 5.46500000000000E+0002	 2.58921477240810E-0001	
 5.48500000000000E+0002	 2.57184137381247E-0001	
 5.50500000000000E+0002	 2.55976797521685E-0001	
 5.52500000000000E+0002	 2.55199457662123E-0001	
 5.54500000000000E+0002	 2.54272117802561E-0001	
 5.56500000000000E+0002	 2.53580277942999E-0001	
 5.58500000000000E+0002	 2.53172938083437E-0001	
 5.60500000000000E+0002	 2.52912098223874E-0001	
 5.62500000000000E+0002	 2.52717258364312E-0001	
 5.64500000000000E+0002	 2.52783918504750E-0001	
 5.66500000000000E+0002	 2.52860078645188E-0001	
 5.68500000000000E+0002	 2.53074738785626E-0001	
 5.70500000000000E+0002	 2.53389898926064E-0001	
 5.72500000000000E+0002	 2.53587059066501E-0001	
 5.74500000000000E+0002	 2.52765719206939E-0001	
 5.76500000000000E+0002	 2.51820379347377E-0001	
 5.78500000000000E+0002	 2.50643539487815E-0001	
 5.80500000000000E+0002	 2.48343699628253E-0001	
 5.82500000000000E+0002	 2.45821859768691E-0001	
 5.84500000000000E+0002	 2.43781019909128E-0001	
 5.86500000000000E+0002	 2.42484180049566E-0001	
 5.88500000000000E+0002	 2.41862340190004E-0001	
 5.90500000000000E+0002	 2.41293000330442E-0001	
 5.92500000000000E+0002	 2.41931160470880E-0001	
 5.94500000000000E+0002	 2.43458820611318E-0001	
 5.96500000000000E+0002	 2.44811980751755E-0001	
 5.98500000000000E+0002	 2.45481640892193E-0001	
 6.00500000000000E+0002	 2.46326801032631E-0001	
 6.02500000000000E+0002	 2.47438461173069E-0001	
 6.04500000000000E+0002	 2.48490621313507E-0001	
 6.06500000000000E+0002	 2.49413781453945E-0001	
 6.08500000000000E+0002	 2.50361941594382E-0001	
 6.10500000000000E+0002	 2.51085601734820E-0001	
 6.12500000000000E+0002	 2.51499261875258E-0001	
 6.14500000000000E+0002	 2.51127422015696E-0001	
 6.16500000000000E+0002	 2.50145582156134E-0001	
 6.18500000000000E+0002	 2.48627242296572E-0001	
 6.20500000000000E+0002	 2.46853402437010E-0001	
 6.22500000000000E+0002	 2.44982562577447E-0001	
 6.24500000000000E+0002	 2.43177222717885E-0001	
 6.26500000000000E+0002	 2.41832382858323E-0001	
 6.28500000000000E+0002	 2.40898542998761E-0001	
 6.30500000000000E+0002	 2.39872703139199E-0001	
 6.32500000000000E+0002	 2.38858363279637E-0001	
 6.34500000000000E+0002	 2.38075023420074E-0001	
 6.36500000000000E+0002	 2.37941183560512E-0001	
 6.38500000000000E+0002	 2.37949843700950E-0001	
 6.40500000000000E+0002	 2.37700503841388E-0001	
 6.42500000000000E+0002	 2.37057163981826E-0001	
 6.44500000000000E+0002	 2.35985824122264E-0001	
 6.46500000000000E+0002	 2.34662984262701E-0001	
 6.48500000000000E+0002	 2.33290144403139E-0001	
 6.50500000000000E+0002	 2.31779804543577E-0001	
 6.52500000000000E+0002	 2.30513964684015E-0001	
 6.54500000000000E+0002	 2.29496124824453E-0001	
 6.56500000000000E+0002	 2.28777784964891E-0001	
 6.58500000000000E+0002	 2.28076945105328E-0001	
 6.60500000000000E+0002	 2.27735605245766E-0001	
 6.62500000000000E+0002	 2.27346265386204E-0001	
 6.64500000000000E+0002	 2.26755425526642E-0001	
 6.66500000000000E+0002	 2.25330085667080E-0001	
 6.68500000000000E+0002	 2.23468245807518E-0001	
 6.70500000000000E+0002	 2.22589405947955E-0001	
 6.72500000000000E+0002	 2.22152066088393E-0001	
 6.74500000000000E+0002	 2.20741726228831E-0001	
 6.76500000000000E+0002	 2.19202386369269E-0001	
 6.78500000000000E+0002	 2.17597046509707E-0001	
 6.80500000000000E+0002	 2.16272706650145E-0001	
 6.82500000000000E+0002	 2.15013866790582E-0001	
 6.84500000000000E+0002	 2.14015526931020E-0001	
 6.86500000000000E+0002	 2.12977187071458E-0001	
 6.88500000000000E+0002	 2.12221847211896E-0001	
 6.90500000000000E+0002	 2.11972507352334E-0001	
 6.92500000000000E+0002	 2.12136667492772E-0001	
 6.94500000000000E+0002	 2.12465827633209E-0001	
 6.96500000000000E+0002	 2.13087987773647E-0001	
 6.98500000000000E+0002	 2.13642147914085E-0001	
 7.00500000000000E+0002	 2.13759808054523E-0001	
 7.02500000000000E+0002	 2.12967468194961E-0001	
 7.04500000000000E+0002	 2.11361128335399E-0001	
 7.06500000000000E+0002	 2.09232288475836E-0001	
 7.08500000000000E+0002	 2.06615948616274E-0001	
 7.10500000000000E+0002	 2.03622608756712E-0001	
 7.12500000000000E+0002	 2.00491768897150E-0001	
 7.14500000000000E+0002	 1.97492929037588E-0001	
 7.16500000000000E+0002	 1.94822589178026E-0001	
 7.18500000000000E+0002	 1.92550249318463E-0001	
 7.20500000000000E+0002	 1.90340909458901E-0001	
 7.22500000000000E+0002	 1.87960569599339E-0001	
 7.24500000000000E+0002	 1.85177229739777E-0001	
 7.26500000000000E+0002	 1.81909889880215E-0001	
 7.28500000000000E+0002	 1.78434050020653E-0001	
 7.30500000000000E+0002	 1.75080710161090E-0001	
 7.32500000000000E+0002	 1.72144870301528E-0001	
 7.34500000000000E+0002	 1.69642530441966E-0001	
 7.36500000000000E+0002	 1.67549690582404E-0001	
 7.38500000000000E+0002	 1.65714350722842E-0001	
 7.40500000000000E+0002	 1.64212510863280E-0001	
 7.42500000000000E+0002	 1.62944671003717E-0001	
 7.44500000000000E+0002	 1.62046331144155E-0001	
 7.46500000000000E+0002	 1.61308491284593E-0001	
 7.48500000000000E+0002	 1.60643651425031E-0001	
 7.50500000000000E+0002	 1.59632811565469E-0001	
 7.52500000000000E+0002	 1.58378471705907E-0001	
 7.54500000000000E+0002	 1.56651131846344E-0001	
 7.56500000000000E+0002	 1.54710291986782E-0001	
 7.58500000000000E+0002	 1.52466452127220E-0001	
 7.60500000000000E+0002	 1.50482612267658E-0001	
 7.62500000000000E+0002	 1.48771772408096E-0001	
 7.64500000000000E+0002	 1.47335432548534E-0001	
 7.66500000000000E+0002	 1.45336092688971E-0001	
 7.68500000000000E+0002	 1.42835252829409E-0001	
 7.70500000000000E+0002	 1.40205912969847E-0001	
 7.72500000000000E+0002	 1.38505073110285E-0001	
 7.74500000000000E+0002	 1.38120233250723E-0001	
 7.76500000000000E+0002	 1.39731393391161E-0001	
 7.78500000000000E+0002	 1.42235553531599E-0001	
