*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:33


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.33018714195011E-0001	
 4.52500000000000E+0002	 1.33398203628118E-0001	
 4.54500000000000E+0002	 1.33887693061224E-0001	
 4.56500000000000E+0002	 1.34257182494331E-0001	
 4.58500000000000E+0002	 1.34662171927438E-0001	
 4.60500000000000E+0002	 1.35819161360544E-0001	
 4.62500000000000E+0002	 1.36635150793651E-0001	
 4.64500000000000E+0002	 1.37594140226757E-0001	
 4.66500000000000E+0002	 1.38166129659864E-0001	
 4.68500000000000E+0002	 1.38626119092971E-0001	
 4.70500000000000E+0002	 1.39035608526077E-0001	
 4.72500000000000E+0002	 1.39539097959184E-0001	
 4.74500000000000E+0002	 1.40408087392290E-0001	
 4.76500000000000E+0002	 1.41475076825397E-0001	
 4.78500000000000E+0002	 1.42269566258503E-0001	
 4.80500000000000E+0002	 1.43163555691610E-0001	
 4.82500000000000E+0002	 1.43767045124717E-0001	
 4.84500000000000E+0002	 1.44421534557823E-0001	
 4.86500000000000E+0002	 1.45251523990930E-0001	
 4.88500000000000E+0002	 1.46333513424036E-0001	
 4.90500000000000E+0002	 1.47093002857143E-0001	
 4.92500000000000E+0002	 1.48028492290249E-0001	
 4.94500000000000E+0002	 1.49151981723356E-0001	
 4.96500000000000E+0002	 1.50242971156463E-0001	
 4.98500000000000E+0002	 1.51148960589569E-0001	
 5.00500000000000E+0002	 1.51931950022676E-0001	
 5.02500000000000E+0002	 1.52495939455782E-0001	
 5.04500000000000E+0002	 1.53428428888889E-0001	
 5.06500000000000E+0002	 1.54267918321995E-0001	
 5.08500000000000E+0002	 1.55110407755102E-0001	
 5.10500000000000E+0002	 1.55976397188209E-0001	
 5.12500000000000E+0002	 1.56855886621315E-0001	
 5.14500000000000E+0002	 1.57677876054422E-0001	
 5.16500000000000E+0002	 1.58482865487528E-0001	
 5.18500000000000E+0002	 1.59297354920635E-0001	
 5.20500000000000E+0002	 1.60333844353741E-0001	
 5.22500000000000E+0002	 1.61172833786848E-0001	
 5.24500000000000E+0002	 1.61673823219955E-0001	
 5.26500000000000E+0002	 1.62114312653061E-0001	
 5.28500000000000E+0002	 1.62904802086168E-0001	
 5.30500000000000E+0002	 1.63675791519274E-0001	
 5.32500000000000E+0002	 1.64205280952381E-0001	
 5.34500000000000E+0002	 1.64375270385488E-0001	
 5.36500000000000E+0002	 1.64367259818594E-0001	
 5.38500000000000E+0002	 1.64250749251701E-0001	
 5.40500000000000E+0002	 1.64056738684807E-0001	
 5.42500000000000E+0002	 1.63729728117914E-0001	
 5.44500000000000E+0002	 1.63362217551020E-0001	
 5.46500000000000E+0002	 1.62947206984127E-0001	
 5.48500000000000E+0002	 1.62598196417234E-0001	
 5.50500000000000E+0002	 1.62283185850340E-0001	
 5.52500000000000E+0002	 1.62135675283447E-0001	
 5.54500000000000E+0002	 1.61971164716553E-0001	
 5.56500000000000E+0002	 1.61853154149660E-0001	
 5.58500000000000E+0002	 1.61728643582766E-0001	
 5.60500000000000E+0002	 1.61630133015873E-0001	
 5.62500000000000E+0002	 1.61439122448980E-0001	
 5.64500000000000E+0002	 1.61210111882086E-0001	
 5.66500000000000E+0002	 1.60949101315193E-0001	
 5.68500000000000E+0002	 1.60744590748299E-0001	
 5.70500000000000E+0002	 1.60564580181406E-0001	
 5.72500000000000E+0002	 1.60424069614512E-0001	
 5.74500000000000E+0002	 1.60137559047619E-0001	
 5.76500000000000E+0002	 1.59846048480726E-0001	
 5.78500000000000E+0002	 1.59572537913832E-0001	
 5.80500000000000E+0002	 1.59097527346939E-0001	
 5.82500000000000E+0002	 1.58462516780045E-0001	
 5.84500000000000E+0002	 1.57892506213152E-0001	
 5.86500000000000E+0002	 1.57428495646259E-0001	
 5.88500000000000E+0002	 1.57166485079365E-0001	
 5.90500000000000E+0002	 1.56898974512472E-0001	
 5.92500000000000E+0002	 1.56813463945578E-0001	
 5.94500000000000E+0002	 1.56932953378685E-0001	
 5.96500000000000E+0002	 1.57108442811791E-0001	
 5.98500000000000E+0002	 1.57164932244898E-0001	
 6.00500000000000E+0002	 1.57198421678005E-0001	
 6.02500000000000E+0002	 1.57280911111111E-0001	
 6.04500000000000E+0002	 1.57435400544218E-0001	
 6.06500000000000E+0002	 1.57564389977324E-0001	
 6.08500000000000E+0002	 1.57690379410431E-0001	
 6.10500000000000E+0002	 1.57792368843537E-0001	
 6.12500000000000E+0002	 1.57900358276644E-0001	
 6.14500000000000E+0002	 1.57826847709751E-0001	
 6.16500000000000E+0002	 1.57613337142857E-0001	
 6.18500000000000E+0002	 1.57256826575964E-0001	
 6.20500000000000E+0002	 1.56763316009070E-0001	
 6.22500000000000E+0002	 1.56117305442177E-0001	
 6.24500000000000E+0002	 1.55440294875283E-0001	
 6.26500000000000E+0002	 1.54859284308390E-0001	
 6.28500000000000E+0002	 1.54427273741497E-0001	
 6.30500000000000E+0002	 1.53960763174603E-0001	
 6.32500000000000E+0002	 1.53488252607710E-0001	
 6.34500000000000E+0002	 1.52975742040816E-0001	
 6.36500000000000E+0002	 1.52658231473923E-0001	
 6.38500000000000E+0002	 1.52423220907029E-0001	
 6.40500000000000E+0002	 1.52171710340136E-0001	
 6.42500000000000E+0002	 1.51803199773243E-0001	
 6.44500000000000E+0002	 1.51374189206349E-0001	
 6.46500000000000E+0002	 1.50903178639456E-0001	
 6.48500000000000E+0002	 1.50438168072562E-0001	
 6.50500000000000E+0002	 1.49885657505669E-0001	
 6.52500000000000E+0002	 1.49397646938776E-0001	
 6.54500000000000E+0002	 1.48995136371882E-0001	
 6.56500000000000E+0002	 1.48685125804989E-0001	
 6.58500000000000E+0002	 1.48344115238095E-0001	
 6.60500000000000E+0002	 1.48104104671202E-0001	
 6.62500000000000E+0002	 1.47804594104308E-0001	
 6.64500000000000E+0002	 1.47395083537415E-0001	
 6.66500000000000E+0002	 1.46775072970522E-0001	
 6.68500000000000E+0002	 1.46228562403628E-0001	
 6.70500000000000E+0002	 1.45936051836735E-0001	
 6.72500000000000E+0002	 1.45666541269841E-0001	
 6.74500000000000E+0002	 1.45080030702948E-0001	
 6.76500000000000E+0002	 1.44461520136054E-0001	
 6.78500000000000E+0002	 1.43829509569161E-0001	
