*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:35


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.49657646158612E-0001	
 4.52500000000000E+0002	 1.49919730793061E-0001	
 4.54500000000000E+0002	 1.50480315427509E-0001	
 4.56500000000000E+0002	 1.50536900061958E-0001	
 4.58500000000000E+0002	 1.50948484696406E-0001	
 4.60500000000000E+0002	 1.51817069330855E-0001	
 4.62500000000000E+0002	 1.52825653965304E-0001	
 4.64500000000000E+0002	 1.53338738599752E-0001	
 4.66500000000000E+0002	 1.54244823234201E-0001	
 4.68500000000000E+0002	 1.54740407868649E-0001	
 4.70500000000000E+0002	 1.55267492503098E-0001	
 4.72500000000000E+0002	 1.55422077137546E-0001	
 4.74500000000000E+0002	 1.56274661771995E-0001	
 4.76500000000000E+0002	 1.56980246406444E-0001	
 4.78500000000000E+0002	 1.57758331040892E-0001	
 4.80500000000000E+0002	 1.58281915675341E-0001	
 4.82500000000000E+0002	 1.59015000309789E-0001	
 4.84500000000000E+0002	 1.59435584944238E-0001	
 4.86500000000000E+0002	 1.60213669578686E-0001	
 4.88500000000000E+0002	 1.60943754213135E-0001	
 4.90500000000000E+0002	 1.61870338847584E-0001	
 4.92500000000000E+0002	 1.62499923482032E-0001	
 4.94500000000000E+0002	 1.63372508116481E-0001	
 4.96500000000000E+0002	 1.64071092750929E-0001	
 4.98500000000000E+0002	 1.64960677385378E-0001	
 5.00500000000000E+0002	 1.65613262019827E-0001	
 5.02500000000000E+0002	 1.66374846654275E-0001	
 5.04500000000000E+0002	 1.67001431288724E-0001	
 5.06500000000000E+0002	 1.67761015923172E-0001	
 5.08500000000000E+0002	 1.68323600557621E-0001	
 5.10500000000000E+0002	 1.69237185192069E-0001	
 5.12500000000000E+0002	 1.70026269826518E-0001	
 5.14500000000000E+0002	 1.70963354460967E-0001	
 5.16500000000000E+0002	 1.71574439095415E-0001	
 5.18500000000000E+0002	 1.72330023729864E-0001	
 5.20500000000000E+0002	 1.72969608364312E-0001	
 5.22500000000000E+0002	 1.73737692998761E-0001	
 5.24500000000000E+0002	 1.74184277633209E-0001	
 5.26500000000000E+0002	 1.74883862267658E-0001	
 5.28500000000000E+0002	 1.75592946902107E-0001	
 5.30500000000000E+0002	 1.76220031536555E-0001	
 5.32500000000000E+0002	 1.76390116171004E-0001	
 5.34500000000000E+0002	 1.76588700805452E-0001	
 5.36500000000000E+0002	 1.76481285439901E-0001	
 5.38500000000000E+0002	 1.76439370074349E-0001	
 5.40500000000000E+0002	 1.76068454708798E-0001	
 5.42500000000000E+0002	 1.75719039343247E-0001	
 5.44500000000000E+0002	 1.75195123977695E-0001	
 5.46500000000000E+0002	 1.74820208612144E-0001	
 5.48500000000000E+0002	 1.74368293246592E-0001	
 5.50500000000000E+0002	 1.74177377881041E-0001	
 5.52500000000000E+0002	 1.73887462515489E-0001	
 5.54500000000000E+0002	 1.73724047149938E-0001	
