*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:28


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.03150219912044E-0001	
 4.52500000000000E+0002	 1.03588141655125E-0001	
 4.54500000000000E+0002	 1.03687063398207E-0001	
 4.56500000000000E+0002	 1.03417485141288E-0001	
 4.58500000000000E+0002	 1.03289906884370E-0001	
 4.60500000000000E+0002	 1.03666328627451E-0001	
 4.62500000000000E+0002	 1.03931750370532E-0001	
 4.64500000000000E+0002	 1.04023172113614E-0001	
 4.66500000000000E+0002	 1.04290093856695E-0001	
 4.68500000000000E+0002	 1.04523515599776E-0001	
 4.70500000000000E+0002	 1.04441937342858E-0001	
 4.72500000000000E+0002	 1.04548359085939E-0001	
 4.74500000000000E+0002	 1.04733780829021E-0001	
 4.76500000000000E+0002	 1.04857702572102E-0001	
 4.78500000000000E+0002	 1.05037124315183E-0001	
 4.80500000000000E+0002	 1.05279546058265E-0001	
 4.82500000000000E+0002	 1.05488467801346E-0001	
 4.84500000000000E+0002	 1.05674389544427E-0001	
 4.86500000000000E+0002	 1.05878811287509E-0001	
 4.88500000000000E+0002	 1.06153233030590E-0001	
 4.90500000000000E+0002	 1.06320654773672E-0001	
 4.92500000000000E+0002	 1.06611576516753E-0001	
 4.94500000000000E+0002	 1.06903998259834E-0001	
 4.96500000000000E+0002	 1.07127420002916E-0001	
 4.98500000000000E+0002	 1.07370841745997E-0001	
 5.00500000000000E+0002	 1.07653763489078E-0001	
 5.02500000000000E+0002	 1.07888185232160E-0001	
 5.04500000000000E+0002	 1.08056106975241E-0001	
 5.06500000000000E+0002	 1.08155028718323E-0001	
 5.08500000000000E+0002	 1.08398450461404E-0001	
 5.10500000000000E+0002	 1.08721872204485E-0001	
 5.12500000000000E+0002	 1.08982793947567E-0001	
 5.14500000000000E+0002	 1.09220215690648E-0001	
 5.16500000000000E+0002	 1.09660637433729E-0001	
 5.18500000000000E+0002	 1.10007559176811E-0001	
 5.20500000000000E+0002	 1.10132980919892E-0001	
 5.22500000000000E+0002	 1.10320402662973E-0001	
 5.24500000000000E+0002	 1.10561824406055E-0001	
 5.26500000000000E+0002	 1.10909246149136E-0001	
 5.28500000000000E+0002	 1.11366167892218E-0001	
 5.30500000000000E+0002	 1.11625589635299E-0001	
 5.32500000000000E+0002	 1.11700511378380E-0001	
 5.34500000000000E+0002	 1.11706433121462E-0001	
 5.36500000000000E+0002	 1.11662354864543E-0001	
 5.38500000000000E+0002	 1.11566276607624E-0001	
 5.40500000000000E+0002	 1.11486698350706E-0001	
 5.42500000000000E+0002	 1.11392120093787E-0001	
 5.44500000000000E+0002	 1.11340041836869E-0001	
