*CPCWIN*

>1	DATALINE
DATALINE
1
Operator:

Description:

Remarks:





15.9.2008
11:35


_x	_y
	
	
UNIT	UNIT
 4.50500000000000E+0002	 1.81282073345360E-0001	
 4.52500000000000E+0002	 1.81717307793935E-0001	
 4.54500000000000E+0002	 1.82617042242510E-0001	
 4.56500000000000E+0002	 1.83164776691085E-0001	
 4.58500000000000E+0002	 1.83854011139660E-0001	
 4.60500000000000E+0002	 1.85287745588235E-0001	
 4.62500000000000E+0002	 1.86614980036810E-0001	
 4.64500000000000E+0002	 1.88068214485385E-0001	
 4.66500000000000E+0002	 1.88749948933960E-0001	
 4.68500000000000E+0002	 1.89323683382535E-0001	
 4.70500000000000E+0002	 1.90511417831110E-0001	
 4.72500000000000E+0002	 1.91536152279685E-0001	
 4.74500000000000E+0002	 1.92526886728260E-0001	
 4.76500000000000E+0002	 1.93355621176835E-0001	
 4.78500000000000E+0002	 1.94498855625410E-0001	
 4.80500000000000E+0002	 1.95464090073985E-0001	
 4.82500000000000E+0002	 1.96512324522560E-0001	
 4.84500000000000E+0002	 1.97291058971135E-0001	
 4.86500000000000E+0002	 1.98219793419710E-0001	
 4.88500000000000E+0002	 1.99301527868285E-0001	
 4.90500000000000E+0002	 2.00256262316860E-0001	
 4.92500000000000E+0002	 2.01153996765435E-0001	
 4.94500000000000E+0002	 2.02501731214010E-0001	
 4.96500000000000E+0002	 2.03713965662585E-0001	
 4.98500000000000E+0002	 2.04882700111160E-0001	
 5.00500000000000E+0002	 2.05493934559735E-0001	
 5.02500000000000E+0002	 2.06219669008310E-0001	
 5.04500000000000E+0002	 2.07619403456885E-0001	
 5.06500000000000E+0002	 2.08925637905460E-0001	
 5.08500000000000E+0002	 2.09750372354035E-0001	
 5.10500000000000E+0002	 2.10513106802610E-0001	
 5.12500000000000E+0002	 2.11565341251184E-0001	
 5.14500000000000E+0002	 2.12382575699759E-0001	
 5.16500000000000E+0002	 2.13222810148334E-0001	
 5.18500000000000E+0002	 2.14316544596909E-0001	
 5.20500000000000E+0002	 2.15724279045484E-0001	
 5.22500000000000E+0002	 2.16847513494059E-0001	
 5.24500000000000E+0002	 2.17465747942634E-0001	
 5.26500000000000E+0002	 2.18001982391209E-0001	
 5.28500000000000E+0002	 2.19138716839784E-0001	
 5.30500000000000E+0002	 2.19906451288359E-0001	
 5.32500000000000E+0002	 2.20304685736934E-0001	
 5.34500000000000E+0002	 2.20252920185509E-0001	
 5.36500000000000E+0002	 2.20044654634084E-0001	
 5.38500000000000E+0002	 2.19631389082659E-0001	
 5.40500000000000E+0002	 2.19123623531234E-0001	
 5.42500000000000E+0002	 2.18476357979809E-0001	
 5.44500000000000E+0002	 2.17723092428384E-0001	
 5.46500000000000E+0002	 2.17020326876959E-0001	
 5.48500000000000E+0002	 2.16345061325534E-0001	
 5.50500000000000E+0002	 2.15905295774109E-0001	
 5.52500000000000E+0002	 2.15507530222684E-0001	
 5.54500000000000E+0002	 2.15171764671259E-0001	
 5.56500000000000E+0002	 2.14761499119834E-0001	
 5.58500000000000E+0002	 2.14580733568409E-0001	
 5.60500000000000E+0002	 2.14336468016984E-0001	
 5.62500000000000E+0002	 2.14204202465559E-0001	
 5.64500000000000E+0002	 2.13908436914134E-0001	
 5.66500000000000E+0002	 2.13758171362709E-0001	
 5.68500000000000E+0002	 2.13474905811284E-0001	
 5.70500000000000E+0002	 2.13257140259859E-0001	
 5.72500000000000E+0002	 2.13014874708434E-0001	
 5.74500000000000E+0002	 2.12700109157009E-0001	
 5.76500000000000E+0002	 2.12241843605583E-0001	
 5.78500000000000E+0002	 2.11787578054158E-0001	
 5.80500000000000E+0002	 2.10928312502733E-0001	
 5.82500000000000E+0002	 2.09914046951308E-0001	
 5.84500000000000E+0002	 2.09013781399883E-0001	
 5.86500000000000E+0002	 2.08319515848458E-0001	
 5.88500000000000E+0002	 2.07928750297033E-0001	
 5.90500000000000E+0002	 2.07556484745608E-0001	
 5.92500000000000E+0002	 2.07504719194183E-0001	
 5.94500000000000E+0002	 2.07629953642758E-0001	
 5.96500000000000E+0002	 2.07777688091333E-0001	
 5.98500000000000E+0002	 2.07719922539908E-0001	
 6.00500000000000E+0002	 2.07727656988483E-0001	
 6.02500000000000E+0002	 2.07859891437058E-0001	
 6.04500000000000E+0002	 2.08040125885633E-0001	
 6.06500000000000E+0002	 2.08155360334208E-0001	
 6.08500000000000E+0002	 2.08325594782783E-0001	
 6.10500000000000E+0002	 2.08435329231358E-0001	
 6.12500000000000E+0002	 2.08495063679933E-0001	
 6.14500000000000E+0002	 2.08309798128508E-0001	
 6.16500000000000E+0002	 2.07714532577083E-0001	
 6.18500000000000E+0002	 2.06967267025658E-0001	
 6.20500000000000E+0002	 2.06196501474233E-0001	
 6.22500000000000E+0002	 2.05408235922808E-0001	
 6.24500000000000E+0002	 2.04501470371383E-0001	
 6.26500000000000E+0002	 2.03765204819958E-0001	
 6.28500000000000E+0002	 2.03080439268533E-0001	
 6.30500000000000E+0002	 2.02516173717108E-0001	
 6.32500000000000E+0002	 2.01830908165683E-0001	
 6.34500000000000E+0002	 2.01278142614258E-0001	
 6.36500000000000E+0002	 2.00832877062833E-0001	
 6.38500000000000E+0002	 2.00574111511408E-0001	
 6.40500000000000E+0002	 2.00166345959983E-0001	
 6.42500000000000E+0002	 1.99773580408557E-0001	
 6.44500000000000E+0002	 1.99265314857132E-0001	
 6.46500000000000E+0002	 1.98689549305707E-0001	
 6.48500000000000E+0002	 1.98089783754282E-0001	
 6.50500000000000E+0002	 1.97485018202857E-0001	
 6.52500000000000E+0002	 1.97004752651432E-0001	
 6.54500000000000E+0002	 1.96512487100007E-0001	
 6.56500000000000E+0002	 1.96167221548582E-0001	
 6.58500000000000E+0002	 1.95792455997157E-0001	
 6.60500000000000E+0002	 1.95480690445732E-0001	
 6.62500000000000E+0002	 1.95156424894307E-0001	
 6.64500000000000E+0002	 1.95649159342882E-0001	
 6.66500000000000E+0002	 1.98031393791457E-0001	
 6.68500000000000E+0002	 1.97960128240032E-0001	
 6.70500000000000E+0002	 1.93850362688607E-0001	
 6.72500000000000E+0002	 1.92426097137182E-0001	
 6.74500000000000E+0002	 1.91636331585757E-0001	
 6.76500000000000E+0002	 1.90912066034332E-0001	
 6.78500000000000E+0002	 1.90175300482907E-0001	
 6.80500000000000E+0002	 1.89445534931482E-0001	
 6.82500000000000E+0002	 1.88731269380057E-0001	
 6.84500000000000E+0002	 1.88063503828632E-0001	
 6.86500000000000E+0002	 1.87430738277207E-0001	
 6.88500000000000E+0002	 1.86813972725782E-0001	
 6.90500000000000E+0002	 1.86389707174357E-0001	
 6.92500000000000E+0002	 1.86094441622932E-0001	
 6.94500000000000E+0002	 1.85943176071507E-0001	
 6.96500000000000E+0002	 1.85873910520082E-0001	
 6.98500000000000E+0002	 1.85886144968657E-0001	
 7.00500000000000E+0002	 1.85715879417232E-0001	
 7.02500000000000E+0002	 1.85334613865807E-0001	
 7.04500000000000E+0002	 1.84680348314382E-0001	
 7.06500000000000E+0002	 1.83874082762956E-0001	
 7.08500000000000E+0002	 1.82868317211531E-0001	
 7.10500000000000E+0002	 1.81713551660106E-0001	
 7.12500000000000E+0002	 1.80480786108681E-0001	
 7.14500000000000E+0002	 1.79163020557256E-0001	
 7.16500000000000E+0002	 1.77945755005831E-0001	
 7.18500000000000E+0002	 1.76718989454406E-0001	
 7.20500000000000E+0002	 1.75651723902981E-0001	
